Azimuth Angle,Radius Location,Drag_X,Drag_Y,Drag_Z,Drag_Mag
0.139626,5.69976,4.17266,-29.3196,0.560154,29.6203
0.139626,6.37032,5.19835,-36.5548,0.655293,36.9284
0.15708,0.33528,0.108233,-0.640064,0.0734773,0.653296
0.15708,1.00584,0.279436,-1.70625,0.0985172,1.73179
0.15708,1.6764,0.572622,-3.53334,0.139277,3.58215
0.15708,2.34696,0.978937,-6.07207,0.184488,6.15324
0.15708,3.01752,1.49454,-9.29921,0.232494,9.42141
0.15708,3.68808,2.11856,-13.2093,0.283077,13.3811
0.15708,4.35864,2.85521,-17.8287,0.336734,18.059
0.15708,5.0292,3.70129,-23.1375,0.392973,23.435
0.15708,5.69976,4.65196,-29.1054,0.451331,29.4783
0.15708,6.37032,5.79421,-36.277,0.519719,36.7405
0.174533,0.33528,0.120071,-0.644333,0.068954,0.659042
0.174533,1.00584,0.315924,-1.74226,0.0930699,1.77312
0.174533,1.6764,0.641789,-3.5722,0.127217,3.63162
0.174533,2.34696,1.09048,-6.0979,0.162945,6.19678
0.174533,3.01752,1.65691,-9.29127,0.198741,9.43994
0.174533,3.68808,2.34706,-13.1859,0.235201,13.3952
0.174533,4.35864,3.15887,-17.7705,0.271893,18.0511
0.174533,5.0292,4.08546,-23.0061,0.308234,23.3681
0.174533,5.69976,5.12386,-28.8761,0.344162,29.3291
0.174533,6.37032,6.37367,-35.9419,0.385845,36.5047
0.191986,0.33528,0.134821,-0.661687,0.066008,0.678501
0.191986,1.00584,0.354491,-1.78134,0.0876292,1.81839
0.191986,1.6764,0.713222,-3.61357,0.1151,3.68508
0.191986,2.34696,1.20271,-6.11912,0.141277,6.2378
0.191986,3.01752,1.82361,-9.30163,0.165558,9.48016
0.191986,3.68808,2.57721,-13.1679,0.187773,13.419
0.191986,4.35864,3.46069,-17.7033,0.207587,18.0396
0.191986,5.0292,4.46508,-22.8623,0.224551,23.2953
0.191986,5.69976,5.58789,-28.6318,0.238759,29.1729
0.191986,6.37032,6.93402,-35.5495,0.254226,36.2204
0.20944,0.33528,0.149613,-0.676018,0.0628341,0.695221
0.20944,1.00584,0.394232,-1.8184,0.0819228,1.86244
0.20944,1.6764,0.785915,-3.6519,0.102733,3.73692
0.20944,2.34696,1.31689,-6.14243,0.119652,6.28315
