Azimuth Angle,Flap,FlapRate,FlapAcceleration,PitchLinkMoment
2.11185,-0.11634,-2.52348,24.1715,39.1458
2.1293,-0.118443,-2.50334,24.5503,38.7363
2.14675,-0.120529,-2.48288,24.924,38.3155
2.16421,-0.122598,-2.46211,25.2925,37.8907
2.18166,-0.12465,-2.44103,25.6564,37.4599
2.19911,-0.126684,-2.41965,26.0166,37.0155
2.21657,-0.128701,-2.39797,26.3733,36.5643
2.23402,-0.130699,-2.37599,26.7275,36.0935
2.25147,-0.132679,-2.35372,27.0784,35.6173
2.26893,-0.134641,-2.33116,27.4263,35.118
2.28638,-0.136583,-2.3083,27.7722,34.6157
2.30383,-0.138507,-2.28516,28.1167,34.1071
2.32129,-0.140411,-2.26173,28.4599,33.5911
2.33874,-0.142296,-2.23801,28.8023,33.0714
2.35619,-0.144161,-2.21401,29.1445,32.5459
2.37365,-0.146006,-2.18972,29.4861,32.0224
2.3911,-0.147831,-2.16515,29.8284,31.4883
2.40855,-0.149635,-2.14029,30.1713,30.9492
2.42601,-0.151418,-2.11515,30.5149,30.4056
2.44346,-0.153181,-2.08972,30.8602,29.8494
2.46091,-0.154923,-2.064,31.2054,29.2759
2.47837,-0.156643,-2.038,31.5526,28.678
2.49582,-0.158341,-2.01171,31.9007,28.0874
2.51327,-0.160017,-1.98512,32.2503,27.4973
2.53073,-0.161672,-1.95825,32.6022,26.9048
2.54818,-0.163303,-1.93108,32.956,26.3151
2.56563,-0.164913,-1.90361,33.3118,25.7302
2.58309,-0.166499,-1.87585,33.671,25.1324
2.60054,-0.168062,-1.8478,34.0321,24.5395
2.61799,-0.169602,-1.81944,34.3969,23.9445
2.63545,-0.171118,-1.79077,34.7643,23.352
2.6529,-0.172611,-1.7618,35.1352,22.7717
2.67035,-0.174079,-1.73252,35.5078,22.1908
2.68781,-0.175522,-1.70293,35.882,21.6682
2.70526,-0.176942,-1.67303,36.2597,21.2715
2.72271,-0.178336,-1.64281,36.6387,20.9013
2.74017,-0.179705,-1.61228,37.0207,20.5641
2.75762,-0.181048,-1.58143,37.4033,20.1363
2.77507,-0.182366,-1.55026,37.7872,19.6065
2.79253,-0.183658,-1.51877,38.1741,19.0453
