Azimuth Angle,Radius Location,Drag_X,Drag_Y,Drag_Z,Drag_Mag
0.139626,3.68808,1.1977,-8.50867,-0.910967,8.64071
0.139626,4.35864,1.70905,-12.1441,-1.11445,12.3143
0.139626,5.0292,2.31375,-16.4437,-1.32459,16.6584
0.139626,5.69976,2.98729,-21.2332,-1.52828,21.4967
0.139626,6.37032,3.75265,-26.6759,-1.73939,26.9947
0.15708,0.33528,1.0207,-6.34665,-7.01512,9.51492
0.15708,1.00584,1.17324,-7.36914,-2.75642,7.95479
0.15708,1.6764,0.2995,-1.88498,-0.42947,1.95635
0.15708,2.34696,0.534848,-3.36914,-0.556514,3.45643
0.15708,3.01752,0.885098,-5.57815,-0.727229,5.69456
0.15708,3.68808,1.34625,-8.48707,-0.918475,8.64212
0.15708,4.35864,1.921,-12.113,-1.12513,12.3159
0.15708,5.0292,2.60064,-16.4011,-1.33899,16.6599
0.15708,5.69976,3.35768,-21.178,-1.54686,21.4982
0.15708,6.37032,4.21786,-26.606,-1.7627,26.9958
0.174533,0.33528,1.13192,-6.32534,-7.01807,9.51548
0.174533,1.00584,1.30183,-7.34599,-2.76231,7.95542
0.174533,1.6764,0.332467,-1.87974,-0.431181,1.957
0.174533,2.34696,0.593736,-3.35974,-0.559537,3.45738
0.174533,3.01752,0.982532,-5.5624,-0.732181,5.69577
0.174533,3.68808,1.49442,-8.46288,-0.925962,8.64355
0.174533,4.35864,2.1324,-12.0782,-1.13577,12.3175
0.174533,5.0292,2.88677,-16.3535,-1.35336,16.6614
0.174533,5.69976,3.72708,-21.1164,-1.56539,21.4998
0.174533,6.37032,4.68181,-26.5279,-1.78593,26.997
0.191986,0.33528,1.24281,-6.30206,-7.02099,9.51603
0.191986,1.00584,1.43,-7.32058,-2.76817,7.95604
0.191986,1.6764,0.365349,-1.87391,-0.432887,1.95765
0.191986,2.34696,0.652468,-3.34931,-0.562551,3.45834
0.191986,3.01752,1.0797,-5.54495,-0.737117,5.69698
0.191986,3.68808,1.64218,-8.4361,-0.933428,8.64499
0.191986,4.35864,2.34319,-12.0397,-1.14638,12.3191
0.191986,5.0292,3.17206,-16.301,-1.36768,16.663
0.191986,5.69976,4.09539,-21.0483,-1.58386,21.5014
0.191986,6.37032,5.14436,-26.4418,-1.8091,26.9983
0.20944,0.33528,1.35333,-6.27681,-7.02388,9.51655
0.20944,1.00584,1.55772,-7.29291,-2.77399,7.95663
0.20944,1.6764,0.398134,-1.8675,-0.434588,1.9583
0.20944,2.34696,0.711026,-3.33786,-0.565555,3.45929
0.20944,3.01752,1.17657,-5.5258,-0.742038,5.69819
0.20944,3.68808,1.78948,-8.40675,-0.940869,8.64644
0.20944,4.35864,2.55331,-11.9975,-1.15696,12.3207
0.20944,5.0292,3.45642,-16.2434,-1.38195,16.6645
0.20944,5.69976,4.46248,-20.9738,-1.60227,21.503
0.20944,6.37032,5.60537,-26.3477,-1.83218,26.9996
0.226893,0.33528,1.46346,-6.24961,-7.02675,9.51707
0.226893,1.00584,1.68495,-7.26298,-2.77979,7.95721
0.226893,1.6764,0.430814,-1.86051,-0.436282,1.95894
0.226893,2.34696,0.769391,-3.32537,-0.568549,3.46025
0.226893,3.01752,1.27311,-5.50496,-0.746942,5.69941
0.226893,3.68808,1.93626,-8.37482,-0.948283,8.64789
0.226893,4.35864,2.7627,-11.9517,-1.1675,12.3223
0.226893,5.0292,3.73976,-16.1809,-1.39617,16.6661
0.226893,5.69976,4.82826,-20.8929,-1.62061,21.5047
0.226893,6.37032,6.0647,-26.2455,-1.85518,27.0009
0.244346,0.33528,1.57315,-6.22045,-7.0296,9.51756
0.244346,1.00584,1.81165,-7.23081,-2.78555,7.95776
0.244346,1.6764,0.463378,-1.85296,-0.437969,1.95959
0.244346,2.34696,0.827547,-3.31186,-0.571532,3.4612
0.244346,3.01752,1.3693,-5.48243,-0.751827,5.70064
0.244346,3.68808,2.0825,-8.34033,-0.955669,8.64935
0.244346,4.35864,2.97128,-11.9022,-1.178,12.3239
0.244346,5.0292,4.02201,-16.1135,-1.41034,16.6676
0.244346,5.69976,5.19261,-20.8056,-1.63888,21.5063
0.244346,6.37032,6.52221,-26.1354,-1.87808,27.0023
0.261799,0.33528,1.68238,-6.18934,-7.03241,9.51804
0.261799,1.00584,1.93778,-7.19641,-2.79127,7.9583
0.261799,1.6764,0.495816,-1.84482,-0.43965,1.96023
0.261799,2.34696,0.885475,-3.29734,-0.574502,3.46216
0.261799,3.01752,1.4651,-5.45821,-0.756691,5.70186
0.261799,3.68808,2.22814,-8.30329,-0.963023,8.65081
0.261799,4.35864,3.17901,-11.8491,-1.18845,12.3256
0.261799,5.0292,4.30307,-16.0412,-1.42444,16.6693
0.261799,5.69976,5.55541,-20.712,-1.65706,21.508
0.261799,6.37032,6.97777,-26.0172,-1.90089,27.0037
0.279253,0.33528,1.7911,-6.15628,-7.0352,9.51851
0.279253,1.00584,2.0633,-7.15979,-2.79696,7.95881
0.279253,1.6764,0.528117,-1.83612,-0.441322,1.96087
0.279253,2.34696,0.943157,-3.28179,-0.577459,3.46311
0.279253,3.01752,1.56049,-5.43232,-0.761534,5.70309
0.279253,3.68808,2.37314,-8.2637,-0.970343,8.65229
0.279253,4.35864,3.3858,-11.7924,-1.19886,12.3272
0.279253,5.0292,4.58285,-15.9639,-1.43847,16.6709
0.279253,5.69976,5.91657,-20.6121,-1.67517,21.5098
0.279253,6.37032,7.43123,-25.8912,-1.92358,27.0051
0.296706,0.33528,1.89927,-6.12129,-7.03797,9.51895
0.296706,1.00584,2.18817,-7.12095,-2.80261,7.95931
0.296706,1.6764,0.560272,-1.82684,-0.442986,1.9615
0.296706,2.34696,1.00057,-3.26523,-0.580402,3.46407
0.296706,3.01752,1.65543,-5.40476,-0.766353,5.70431
0.296706,3.68808,2.51745,-8.22157,-0.977628,8.65376
0.296706,4.35864,3.59161,-11.732,-1.20921,12.3289
0.296706,5.0292,4.86129,-15.8818,-1.45244,16.6725
0.296706,5.69976,6.27596,-20.5059,-1.69318,21.5115
0.296706,6.37032,7.88246,-25.7572,-1.94616,27.0066
0.314159,0.33528,2.00687,-6.08438,-7.0407,9.51938
0.314159,1.00584,2.31235,-7.07991,-2.80821,7.95978
0.314159,1.6764,0.59227,-1.817,-0.444641,1.96214
0.314159,2.34696,1.05771,-3.24766,-0.58333,3.46502
0.314159,3.01752,1.7499,-5.37553,-0.771147,5.70554
0.314159,3.68808,2.66103,-8.17692,-0.984875,8.65524
0.314159,4.35864,3.79636,-11.668,-1.21951,12.3306
