Azimuth Angle,Radius Location,Drag_X,Drag_Y,Drag_Z,Drag_Mag
0.15708,3.68808,0,-8.63724,0.290368,8.64212
0.15708,4.35864,0,-12.3013,0.598345,12.3159
0.15708,5.0292,0,-16.6303,0.992786,16.6599
0.15708,5.69976,0,-21.4485,1.46226,21.4982
0.15708,6.37032,0,-26.9205,2.01589,26.9958
0.174533,0.33528,0,-7.34784,-6.04596,9.51548
0.174533,1.00584,0,-7.77448,-1.68706,7.95542
0.174533,1.6764,0,-1.95055,-0.158788,1.957
0.174533,2.34696,0,-3.45657,-0.0747786,3.45738
0.174533,3.01752,0,-5.69536,0.0684506,5.69577
0.174533,3.68808,0,-8.63868,0.290278,8.64355
0.174533,4.35864,0,-12.3029,0.598194,12.3175
0.174533,5.0292,0,-16.6318,0.992541,16.6614
0.174533,5.69976,0,-21.4501,1.46192,21.4998
0.174533,6.37032,0,-26.9217,2.01539,26.997
0.191986,0.33528,0,-7.35093,-6.04305,9.51603
0.191986,1.00584,0,-7.77522,-1.68658,7.95604
0.191986,1.6764,0,-1.9512,-0.158808,1.95765
0.191986,2.34696,0,-3.45753,-0.0748095,3.45834
0.191986,3.01752,0,-5.69657,0.0684008,5.69698
0.191986,3.68808,0,-8.64012,0.290191,8.64499
0.191986,4.35864,0,-12.3045,0.598047,12.3191
0.191986,5.0292,0,-16.6334,0.992302,16.663
0.191986,5.69976,0,-21.4517,1.46157,21.5014
0.191986,6.37032,0,-26.923,2.0149,26.9983
0.20944,0.33528,0,-7.35401,-6.04014,9.51655
0.20944,1.00584,0,-7.77593,-1.68609,7.95663
0.20944,1.6764,0,-1.95185,-0.158829,1.9583
0.20944,2.34696,0,-3.45848,-0.0748394,3.45929
0.20944,3.01752,0,-5.69778,0.0683526,5.69819
0.20944,3.68808,0,-8.64157,0.290107,8.64644
0.20944,4.35864,0,-12.3062,0.597904,12.3207
0.20944,5.0292,0,-16.6349,0.992067,16.6645
0.20944,5.69976,0,-21.4533,1.46124,21.503
0.20944,6.37032,0,-26.9243,2.01441,26.9996
0.226893,0.33528,0,-7.35707,-6.03723,9.51707
0.226893,1.00584,0,-7.77663,-1.6856,7.95721
0.226893,1.6764,0,-1.95249,-0.158848,1.95894
0.226893,2.34696,0,-3.45944,-0.0748683,3.46025
0.226893,3.01752,0,-5.699,0.0683059,5.69941
0.226893,3.68808,0,-8.64302,0.290025,8.64789
0.226893,4.35864,0,-12.3078,0.597765,12.3223
0.226893,5.0292,0,-16.6365,0.991838,16.6661
0.226893,5.69976,0,-21.455,1.46091,21.5047
0.226893,6.37032,0,-26.9257,2.01394,27.0009
0.244346,0.33528,0,-7.3601,-6.03432,9.51756
0.244346,1.00584,0,-7.7773,-1.68511,7.95776
0.244346,1.6764,0,-1.95314,-0.158867,1.95959
0.244346,2.34696,0,-3.46039,-0.0748963,3.4612
0.244346,3.01752,0,-5.70023,0.0682608,5.70064
0.244346,3.68808,0,-8.64449,0.289945,8.64935
0.244346,4.35864,0,-12.3094,0.597629,12.3239
0.244346,5.0292,0,-16.6381,0.991613,16.6676
0.244346,5.69976,0,-21.4567,1.46059,21.5063
0.244346,6.37032,0,-26.9271,2.01347,27.0023
0.261799,0.33528,0,-7.36311,-6.0314,9.51804
0.261799,1.00584,0,-7.77796,-1.68461,7.9583
0.261799,1.6764,0,-1.95378,-0.158885,1.96023
0.261799,2.34696,0,-3.46135,-0.0749234,3.46216
0.261799,3.01752,0,-5.70145,0.0682171,5.70186
0.261799,3.68808,0,-8.64596,0.289868,8.65081
0.261799,4.35864,0,-12.3111,0.597496,12.3256
0.261799,5.0292,0,-16.6397,0.991394,16.6693
0.261799,5.69976,0,-21.4584,1.46027,21.508
0.261799,6.37032,0,-26.9285,2.01301,27.0037
0.279253,0.33528,0,-7.36609,-6.02849,9.51851
0.279253,1.00584,0,-7.77859,-1.6841,7.95881
0.279253,1.6764,0,-1.95442,-0.158902,1.96087
0.279253,2.34696,0,-3.4623,-0.0749495,3.46311
0.279253,3.01752,0,-5.70268,0.068175,5.70309
0.279253,3.68808,0,-8.64743,0.289793,8.65229
0.279253,4.35864,0,-12.3127,0.597367,12.3272
0.279253,5.0292,0,-16.6414,0.991179,16.6709
0.279253,5.69976,0,-21.4602,1.45996,21.5098
0.279253,6.37032,0,-26.93,2.01256,27.0051
0.296706,0.33528,0,-7.36905,-6.02558,9.51895
0.296706,1.00584,0,-7.77921,-1.68359,7.95931
