Azimuth Angle,Radius Location,Moment_X,Moment_Y,Moment_Z,Moment_Mag
0.15708,1.00584,-14.7092,92.8094,4.36243,94.069
0.15708,1.6764,-32.0507,202.074,20.5246,205.627
0.15708,2.34696,-22.5925,142.743,-7.12699,144.695
0.15708,3.01752,23.1762,-145.505,-59.1132,158.755
0.15708,3.68808,120.516,-758.992,-137.344,780.677
0.15708,4.35864,284.67,-1793.93,-244.02,1832.7
0.15708,5.0292,533.729,-3364.5,-382.553,3427.98
0.15708,5.69976,896.947,-5655.29,-560.071,5753.31
0.15708,6.37032,1390.86,-8770.69,-777.898,8914.29
0.174533,0.33528,-4.22329,23.9471,0.329649,24.3188
0.174533,1.00584,-16.3308,92.5574,4.39661,94.0898
0.174533,1.6764,-35.5747,201.478,20.6134,205.63
0.174533,2.34696,-25.0833,142.35,-7.12081,144.718
0.174533,3.01752,25.7047,-144.982,-59.3867,158.768
0.174533,3.68808,133.726,-756.545,-138.178,780.6
0.174533,4.35864,315.899,-1788.26,-245.781,1832.5
0.174533,5.0292,592.308,-3353.97,-385.706,3427.64
0.174533,5.69976,995.41,-5637.67,-565.239,5752.71
0.174533,6.37032,1543.56,-8743.45,-785.797,8913.35
0.191986,0.33528,-4.64104,23.8717,0.333619,24.321
0.191986,1.00584,-17.9481,92.277,4.43074,94.1106
0.191986,1.6764,-39.088,200.82,20.7017,205.634
0.191986,2.34696,-27.5668,141.912,-7.11483,144.74
0.191986,3.01752,28.2235,-144.419,-59.6594,158.785
0.191986,3.68808,146.891,-753.873,-139.01,780.529
0.191986,4.35864,347.022,-1782.04,-247.535,1832.31
0.191986,5.0292,650.691,-3342.44,-388.849,3427.32
0.191986,5.69976,1093.54,-5618.35,-570.391,5752.13
0.191986,6.37032,1695.76,-8713.57,-793.67,8912.45
0.20944,0.33528,-5.05745,23.7891,0.337581,24.3231
0.20944,1.00584,-19.5606,91.9683,4.46482,94.1314
0.20944,1.6764,-42.5894,200.101,20.7896,205.636
0.20944,2.34696,-30.0424,141.429,-7.10906,144.76
0.20944,3.01752,30.7321,-143.814,-59.9314,158.804
0.20944,3.68808,160.006,-750.976,-139.839,780.463
0.20944,4.35864,378.03,-1775.29,-249.283,1832.14
0.20944,5.0292,708.861,-3329.9,-391.98,3427
0.20944,5.69976,1191.32,-5597.34,-575.523,5751.58
0.20944,6.37032,1847.4,-8681.06,-801.514,8911.57
0.226893,0.33528,-5.47239,23.6992,0.341532,24.3252
0.226893,1.00584,-21.168,91.6313,4.49882,94.1521
0.226893,1.6764,-46.0778,199.319,20.877,205.639
0.226893,2.34696,-32.5091,140.902,-7.1035,144.778
0.226893,3.01752,33.2298,-143.168,-60.2025,158.826
0.226893,3.68808,173.069,-747.855,-140.665,780.402
0.226893,4.35864,408.915,-1768.01,-251.025,1831.97
0.226893,5.0292,766.801,-3316.36,-395.099,3426.71
0.226893,5.69976,1288.71,-5574.64,-580.636,5751.04
0.226893,6.37032,1998.45,-8645.94,-809.328,8910.73
0.244346,0.33528,-5.88574,23.602,0.345471,24.3273
0.244346,1.00584,-22.7695,91.2661,4.53273,94.1728
0.244346,1.6764,-49.5521,198.477,20.9639,205.64
0.244346,2.34696,-34.9661,140.331,-7.09816,144.796
0.244346,3.01752,35.7159,-142.482,-60.4727,158.851
0.244346,3.68808,186.075,-744.512,-141.487,780.346
0.244346,4.35864,439.667,-1760.2,-252.759,1831.81
0.244346,5.0292,824.494,-3301.82,-398.205,3426.42
0.244346,5.69976,1385.69,-5550.26,-585.727,5750.53
0.244346,6.37032,2148.85,-8608.21,-817.108,8909.91
0.261799,0.33528,-6.29737,23.4977,0.349398,24.3294
0.261799,1.00584,-24.3649,90.8729,4.56655,94.1934
0.261799,1.6764,-53.0112,197.573,21.0503,205.641
0.261799,2.34696,-37.4126,139.716,-7.09304,144.812
0.261799,3.01752,38.1898,-141.754,-60.7419,158.878
0.261799,3.68808,199.021,-740.946,-142.306,780.296
0.261799,4.35864,470.277,-1751.86,-254.486,1831.65
0.261799,5.0292,881.924,-3286.28,-401.297,3426.15
0.261799,5.69976,1482.22,-5524.21,-590.795,5750.04
0.261799,6.37032,2298.57,-8567.88,-824.852,8909.12
0.279253,0.33528,-6.70715,23.3861,0.353312,24.3315
0.279253,1.00584,-25.9535,90.4517,4.60027,94.2139
0.279253,1.6764,-56.454,196.608,21.1361,205.642
0.279253,2.34696,-39.8478,139.057,-7.08814,144.827
0.279253,3.01752,40.651,-140.986,-61.01,158.908
0.279253,3.68808,211.902,-737.159,-143.122,780.25
0.279253,4.35864,500.737,-1743,-256.204,1831.51
0.279253,5.0292,939.073,-3269.76,-404.374,3425.89
0.279253,5.69976,1578.28,-5496.5,-595.838,5749.56
0.279253,6.37032,2447.55,-8524.98,-832.558,8908.36
0.296706,0.33528,-7.11495,23.2673,0.357209,24.3335
0.296706,1.00584,-27.5349,90.0027,4.63387,94.2344
0.296706,1.6764,-59.8796,195.583,21.2214,205.642
0.296706,2.34696,-42.2709,138.354,-7.08345,144.84
0.296706,3.01752,43.0988,-140.178,-61.277,158.941
0.296706,3.68808,224.716,-733.153,-143.933,780.209
0.296706,4.35864,531.037,-1733.61,-257.914,1831.37
0.296706,5.0292,995.924,-3252.26,-407.435,3425.64
0.296706,5.69976,1673.84,-5467.13,-600.855,5749.11
0.296706,6.37032,2595.76,-8479.5,-840.224,8907.63
0.314159,0.33528,-7.52065,23.1415,0.361091,24.3355
0.314159,1.00584,-29.1086,89.5258,4.66734,94.2548
0.314159,1.6764,-63.2867,194.498,21.306,205.642
0.314159,2.34696,-44.6812,137.607,-7.07899,144.853
0.314159,3.01752,45.5325,-139.329,-61.5427,158.976
0.314159,3.68808,237.458,-728.927,-144.74,780.173
0.314159,4.35864,561.168,-1723.7,-259.614,1831.24
0.314159,5.0292,1052.46,-3233.77,-410.48,3425.41
0.314159,5.69976,1768.87,-5436.11,-605.844,5748.67
0.314159,6.37032,2743.15,-8431.46,-847.848,8906.92
0.331613,0.33528,-7.92413,23.0085,0.364954,24.3375
0.331613,1.00584,-30.674,89.0214,4.70067,94.2751
0.331613,1.6764,-66.6743,193.352,21.39,205.641
0.331613,2.34696,-47.0777,136.818,-7.07474,144.864
0.331613,3.01752,47.9516,-138.44,-61.8071,159.013
0.331613,3.68808,250.126,-724.484,-145.542,780.142
0.331613,4.35864,591.123,-1713.27,-261.305,1831.12
0.331613,5.0292,1108.67,-3214.31,-413.507,3425.19
0.331613,5.69976,1863.35,-5403.45,-610.803,5748.25
0.331613,6.37032,2889.68,-8380.88,-855.426,8906.24
0.349066,0.33528,-8.32526,22.8685,0.368799,24.3395
0.349066,1.00584,-32.2308,88.4894,4.73385,94.2953
0.349066,1.6764,-70.0415,192.147,21.4734,205.639
0.349066,2.34696,-49.4598,135.985,-7.07071,144.873
0.349066,3.01752,50.3554,-137.512,-62.0701,159.053
0.349066,3.68808,262.714,-719.824,-146.34,780.116
0.349066,4.35864,620.891,-1702.33,-262.985,1831.01
0.349066,5.0292,1164.53,-3193.88,-416.515,3424.98
0.349066,5.69976,1957.24,-5369.16,-615.733,5747.86
0.349066,6.37032,3035.3,-8327.77,-862.958,8905.59
0.366519,0.33528,-8.72391,22.7214,0.372623,24.3415
0.366519,1.00584,-33.7784,87.9301,4.76687,94.3154
0.366519,1.6764,-73.387,190.883,21.5561,205.637
0.366519,2.34696,-51.8267,135.11,-7.06691,144.882
0.366519,3.01752,52.7432,-136.543,-62.3315,159.095
0.366519,3.68808,275.22,-714.949,-147.133,780.094
0.366519,4.35864,650.465,-1690.88,-264.655,1830.91
0.366519,5.0292,1220.02,-3172.49,-419.504,3424.78
0.366519,5.69976,2050.52,-5333.26,-620.629,5747.48
0.366519,6.37032,3179.98,-8272.15,-870.44,8904.97
0.383972,0.33528,-9.11997,22.5674,0.376426,24.3435
0.383972,1.00584,-35.3163,87.3435,4.79972,94.3354
0.383972,1.6764,-76.7099,189.56,21.6381,205.635
0.383972,2.34696,-54.1775,134.193,-7.06332,144.889
0.383972,3.01752,55.1146,-135.535,-62.5914,159.139
0.383972,3.68808,287.64,-709.86,-147.921,780.076
0.383972,4.35864,679.836,-1678.92,-266.313,1830.81
0.383972,5.0292,1275.14,-3150.15,-422.472,3424.6
0.383972,5.69976,2143.16,-5295.74,-625.493,5747.11
0.383972,6.37032,3323.66,-8214.03,-877.87,8904.37
0.401426,0.33528,-9.5133,22.4065,0.380206,24.3454
0.401426,1.00584,-36.844,86.7299,4.83238,94.3553
0.401426,1.6764,-80.0092,188.179,21.7193,205.632
0.401426,2.34696,-56.5115,133.234,-7.05994,144.895
0.401426,3.01752,57.4688,-134.488,-62.8497,159.185
0.401426,3.68808,299.971,-704.558,-148.703,780.062
0.401426,4.35864,708.994,-1666.45,-267.959,1830.72
0.401426,5.0292,1329.85,-3126.85,-425.419,3424.42
0.401426,5.69976,2235.14,-5256.63,-630.321,5746.77
0.401426,6.37032,3466.31,-8153.44,-885.246,8903.79
0.418879,0.33528,-9.90379,22.2387,0.383962,24.3473
0.418879,1.00584,-38.3612,86.0895,4.86485,94.375
0.418879,1.6764,-83.2837,186.74,21.7998,205.629
0.418879,2.34696,-58.828,132.233,-7.05679,144.9
0.418879,3.01752,59.8051,-133.402,-63.1062,159.233
0.418879,3.68808,312.208,-699.046,-149.479,780.053
0.418879,4.35864,737.932,-1653.48,-269.593,1830.64
0.418879,5.0292,1384.16,-3102.61,-428.343,3424.26
0.418879,5.69976,2326.42,-5215.93,-635.112,5746.44
0.418879,6.37032,3607.88,-8090.38,-892.567,8903.24
0.436332,0.33528,-10.2913,22.064,0.387692,24.3492
0.436332,1.00584,-39.8672,85.4223,4.89711,94.3946
0.436332,1.6764,-86.5326,185.243,21.8795,205.625
0.436332,2.34696,-61.1262,131.191,-7.05385,144.904
0.436332,3.01752,62.1231,-132.277,-63.3609,159.283
0.436332,3.68808,324.348,-693.323,-150.249,780.047
0.436332,4.35864,766.64,-1640.02,-271.214,1830.56
0.436332,5.0292,1438.03,-3077.43,-431.245,3424.11
0.436332,5.69976,2416.97,-5173.66,-639.865,5746.12
0.436332,6.37032,3748.33,-8024.87,-899.829,8902.71
0.453786,0.33528,-10.6758,21.8826,0.391396,24.351
0.453786,1.00584,-41.3616,84.7286,4.92916,94.4141
0.453786,1.6764,-89.7547,183.689,21.9585,205.62
0.453786,2.34696,-63.4054,130.108,-7.05112,144.907
0.453786,3.01752,64.4219,-131.114,-63.6137,159.335
0.453786,3.68808,336.388,-687.393,-151.014,780.046
0.453786,4.35864,795.111,-1626.05,-272.822,1830.49
0.453786,5.0292,1491.46,-3051.33,-434.123,3423.97
0.453786,5.69976,2506.78,-5129.82,-644.579,5745.83
0.453786,6.37032,3887.61,-7956.94,-907.03,8902.2
0.471239,0.33528,-11.057,21.6944,0.395071,24.3529
0.471239,1.00584,-42.844,84.0086,4.96097,94.4333
0.471239,1.6764,-92.949,182.079,22.0366,205.616
0.471239,2.34696,-65.6648,128.984,-7.0486,144.909
0.471239,3.01752,66.7011,-129.912,-63.8645,159.389
0.471239,3.68808,348.324,-681.256,-151.771,780.048
0.471239,4.35864,823.336,-1611.6,-274.416,1830.42
0.471239,5.0292,1544.43,-3024.3,-436.975,3423.83
0.471239,5.69976,2595.81,-5084.44,-649.252,5745.54
0.471239,6.37032,4025.7,-7886.61,-914.168,8901.72
0.488692,0.33528,-11.4349,21.4996,0.398718,24.3547
0.488692,1.00584,-44.3138,83.2624,4.99254,94.4525
0.488692,1.6764,-96.1147,180.412,22.1138,205.611
0.488692,2.34696,-67.9037,127.821,-7.04629,144.909
0.488692,3.01752,68.96,-128.672,-64.1132,159.444
0.488692,3.68808,360.153,-674.915,-152.523,780.053
0.488692,4.35864,851.306,-1596.67,-275.996,1830.37
0.488692,5.0292,1596.93,-2996.36,-439.802,3423.71
0.488692,5.69976,2684.04,-5037.51,-653.882,5745.27
0.488692,6.37032,4162.54,-7813.89,-921.242,8901.25
0.506145,0.33528,-11.8094,21.2982,0.402334,24.3565
0.506145,1.00584,-45.7706,82.4904,5.02387,94.4714
0.506145,1.6764,-99.2506,178.691,22.1902,205.605
0.506145,2.34696,-70.1214,126.617,-7.04418,144.909
0.506145,3.01752,71.1979,-127.394,-64.3598,159.501
0.506145,3.68808,371.871,-668.37,-153.267,780.062
0.506145,4.35864,879.013,-1581.25,-277.561,1830.32
0.506145,5.0292,1648.93,-2967.52,-442.603,3423.59
0.506145,5.69976,2771.44,-4989.07,-658.469,5745.02
0.506145,6.37032,4298.09,-7738.81,-928.248,8900.81
0.523599,0.33528,-12.1803,21.0902,0.405919,24.3582
0.523599,1.00584,-47.214,81.6926,5.05493,94.4902
0.523599,1.6764,-102.356,176.914,22.2658,205.599
0.523599,2.34696,-72.3172,125.375,-7.04227,144.907
0.523599,3.01752,73.4142,-126.078,-64.6042,159.559
0.523599,3.68808,383.474,-661.625,-154.004,780.075
0.523599,4.35864,906.448,-1565.35,-279.111,1830.27
0.523599,5.0292,1700.42,-2937.77,-445.375,3423.49
0.523599,5.69976,2857.99,-4939.11,-663.01,5744.78
0.523599,6.37032,4432.32,-7661.38,-935.186,8900.38
0.541052,0.33528,-12.5476,20.8757,0.40947,24.3599
0.541052,1.00584,-48.6434,80.8694,5.08571,94.5087
0.541052,1.6764,-105.429,175.082,22.3404,205.592
0.541052,2.34696,-74.4904,124.093,-7.04056,144.905
0.541052,3.01752,75.6082,-124.726,-64.8462,159.619
0.541052,3.68808,394.959,-654.68,-154.733,780.09
0.541052,4.35864,933.604,-1548.99,-280.644,1830.23
0.541052,5.0292,1751.38,-2907.14,-448.12,3423.39
0.541052,5.69976,2943.65,-4887.66,-667.505,5744.55
0.541052,6.37032,4565.18,-7581.64,-942.051,8899.98
0.558505,0.33528,-12.9111,20.6548,0.412988,24.3616
0.558505,1.00584,-50.0585,80.0209,5.11622,94.5271
0.558505,1.6764,-108.47,173.197,22.4141,205.586
0.558505,2.34696,-76.6403,122.773,-7.03905,144.902
0.558505,3.01752,77.7794,-123.336,-65.0859,159.68
0.558505,3.68808,406.323,-647.537,-155.456,780.108
0.558505,4.35864,960.473,-1532.15,-282.162,1830.19
0.558505,5.0292,1801.81,-2875.63,-450.835,3423.3
0.558505,5.69976,3028.41,-4834.73,-671.951,5744.33
0.558505,6.37032,4696.63,-7499.6,-948.844,8899.59
0.575959,0.33528,-13.2706,20.4276,0.41647,24.3633
0.575959,1.00584,-51.4587,79.1474,5.14642,94.5452
0.575959,1.6764,-111.478,171.259,22.4868,205.578
0.575959,2.34696,-78.7663,121.415,-7.03772,144.898
0.575959,3.01752,79.9271,-121.91,-65.3231,159.742
0.575959,3.68808,417.562,-640.199,-156.17,780.129
0.575959,4.35864,987.046,-1514.85,-283.663,1830.16
0.575959,5.0292,1851.68,-2843.24,-453.52,3423.22
0.575959,5.69976,3112.23,-4780.33,-676.348,5744.13
0.575959,6.37032,4826.63,-7415.29,-955.56,8899.21
0.593412,0.33528,-13.6262,20.194,0.419916,24.3649
0.593412,1.00584,-52.8436,78.2493,5.17632,94.5631
0.593412,1.6764,-114.45,169.268,22.5585,205.571
0.593412,2.34696,-80.8676,120.02,-7.03658,144.893
0.593412,3.01752,82.0506,-120.447,-65.5577,159.805
0.593412,3.68808,428.673,-632.667,-156.876,780.153
0.593412,4.35864,1013.31,-1497.09,-285.146,1830.13
0.593412,5.0292,1900.99,-2809.99,-456.174,3423.14
0.593412,5.69976,3195.1,-4724.49,-680.695,5743.93
0.593412,6.37032,4955.15,-7328.73,-962.199,8898.86
0.610865,0.33528,-13.9776,19.9542,0.423324,24.3665
0.610865,1.00584,-54.2128,77.3266,5.2059,94.5808
0.610865,1.6764,-117.388,167.224,22.6293,205.563
0.610865,2.34696,-82.9437,118.587,-7.03562,144.887
0.610865,3.01752,84.1494,-118.948,-65.7897,159.869
0.610865,3.68808,439.652,-624.944,-157.574,780.179
0.610865,4.35864,1039.27,-1478.88,-286.612,1830.11
0.610865,5.0292,1949.71,-2775.9,-458.797,3423.08
0.610865,5.69976,3276.98,-4667.21,-684.989,5743.75
0.610865,6.37032,5082.14,-7239.95,-968.758,8898.51
0.628319,0.33528,-14.3248,19.7083,0.426693,24.368
0.628319,1.00584,-55.5658,76.3798,5.23516,94.5983
0.628319,1.6764,-120.289,165.13,22.6991,205.554
0.628319,2.34696,-84.9938,117.118,-7.03484,144.88
0.628319,3.01752,86.2227,-117.414,-66.019,159.934
0.628319,3.68808,450.497,-617.032,-158.263,780.207
0.628319,4.35864,1064.91,-1460.22,-288.06,1830.09
0.628319,5.0292,1997.82,-2740.96,-461.387,3423.01
0.628319,5.69976,3357.85,-4608.52,-689.23,5743.57
0.628319,6.37032,5207.57,-7148.97,-975.235,8898.18
0.645772,0.33528,-14.6677,19.4563,0.430022,24.3695
0.645772,1.00584,-56.9022,75.409,5.26407,94.6155
0.645772,1.6764,-123.153,162.984,22.7678,205.545
0.645772,2.34696,-87.0174,115.613,-7.03422,144.872
0.645772,3.01752,88.27,-115.844,-66.2455,160
0.645772,3.68808,461.203,-608.933,-158.944,780.238
0.645772,4.35864,1090.22,-1441.11,-289.49,1830.08
0.645772,5.0292,2045.33,-2705.18,-463.943,3422.96
0.645772,5.69976,3437.69,-4548.43,-693.416,5743.41
0.645772,6.37032,5331.39,-7055.83,-981.629,8897.87
0.663225,0.33528,-15.0061,19.1983,0.433309,24.371
0.663225,1.00584,-58.2216,74.4146,5.29264,94.6324
0.663225,1.6764,-125.978,160.789,22.8355,205.536
0.663225,2.34696,-89.0138,114.073,-7.03378,144.864
0.663225,3.01752,90.2906,-114.24,-66.4691,160.066
0.663225,3.68808,471.768,-600.649,-159.615,780.27
0.663225,4.35864,1115.19,-1421.57,-290.9,1830.07
0.663225,5.0292,2092.2,-2668.59,-466.465,3422.9
0.663225,5.69976,3516.47,-4486.95,-697.545,5743.25
0.663225,6.37032,5453.58,-6960.54,-987.936,8897.56
0.680678,0.33528,-15.34,18.9344,0.436554,24.3725
0.680678,1.00584,-59.5235,73.3968,5.32084,94.6491
0.680678,1.6764,-128.765,158.544,22.9021,205.527
0.680678,2.34696,-90.9824,112.497,-7.03349,144.855
0.680678,3.01752,92.2839,-112.601,-66.6898,160.133
0.680678,3.68808,482.188,-592.183,-160.277,780.304
0.680678,4.35864,1139.82,-1401.6,-292.29,1830.06
0.680678,5.0292,2138.44,-2631.18,-468.953,3422.86
0.680678,5.69976,3594.17,-4424.12,-701.618,5743.1
0.680678,6.37032,5574.08,-6863.13,-994.156,8897.27
0.698132,0.33528,-15.6692,18.6646,0.439755,24.3739
0.698132,1.00584,-60.8075,72.356,5.34867,94.6654
0.698132,1.6764,-131.512,156.251,22.9677,205.517
0.698132,2.34696,-92.9225,110.887,-7.03336,144.845
0.698132,3.01752,94.2493,-110.927,-66.9075,160.201
0.698132,3.68808,492.46,-583.536,-160.93,780.34
0.698132,4.35864,1164.11,-1381.2,-293.661,1830.06
0.698132,5.0292,2184.01,-2592.98,-471.404,3422.81
0.698132,5.69976,3670.77,-4359.94,-705.631,5742.95
0.698132,6.37032,5692.87,-6763.65,-1000.29,8896.98
0.715585,0.33528,-15.9936,18.3891,0.442912,24.3752
0.715585,1.00584,-62.0731,71.2925,5.37612,94.6815
0.715585,1.6764,-134.218,153.909,23.0321,205.507
0.715585,2.34696,-94.8338,109.244,-7.03338,144.835
0.715585,3.01752,96.1861,-109.22,-67.122,160.269
0.715585,3.68808,502.581,-574.712,-161.574,780.377
0.715585,4.35864,1188.03,-1360.39,-295.011,1830.05
0.715585,5.0292,2228.91,-2553.98,-473.819,3422.77
0.715585,5.69976,3746.23,-4294.43,-709.585,5742.81
0.715585,6.37032,5809.91,-6662.1,-1006.32,8896.71
0.733038,0.33528,-16.3132,18.1079,0.446023,24.3766
0.733038,1.00584,-63.3201,70.2065,5.40318,94.6973
0.733038,1.6764,-136.882,151.521,23.0954,205.496
0.733038,2.34696,-96.7154,107.566,-7.03353,144.824
0.733038,3.01752,98.0937,-107.479,-67.3334,160.337
0.733038,3.68808,512.548,-565.713,-162.207,780.415
0.733038,4.35864,1211.59,-1339.16,-296.341,1830.05
0.733038,5.0292,2273.13,-2514.21,-476.197,3422.74
0.733038,5.69976,3820.54,-4227.62,-713.477,5742.68
0.733038,6.37032,5925.16,-6558.53,-1012.27,8896.44
0.750492,0.33528,-16.6278,17.8212,0.449086,24.3778
0.750492,1.00584,-64.5479,69.0985,5.42984,94.7128
0.750492,1.6764,-139.504,149.086,23.1576,205.485
0.750492,2.34696,-98.5669,105.856,-7.03383,144.812
0.750492,3.01752,99.9715,-105.706,-67.5415,160.405
0.750492,3.68808,522.357,-556.541,-162.831,780.454
0.750492,4.35864,1234.77,-1317.52,-297.649,1830.05
0.750492,5.0292,2316.65,-2473.67,-478.536,3422.7
0.750492,5.69976,3893.68,-4159.52,-717.307,5742.55
0.750492,6.37032,6038.59,-6452.97,-1018.12,8896.17
0.767945,0.33528,-16.9373,17.5289,0.452102,24.3791
0.767945,1.00584,-65.7562,67.9688,5.45608,94.728
0.767945,1.6764,-142.083,146.605,23.2186,205.474
0.767945,2.34696,-100.388,104.114,-7.03426,144.8
0.767945,3.01752,101.819,-103.9,-67.7463,160.474
0.767945,3.68808,532.006,-547.2,-163.444,780.494
0.767945,4.35864,1257.58,-1295.48,-298.935,1830.06
0.767945,5.0292,2359.45,-2432.38,-480.837,3422.67
0.767945,5.69976,3965.62,-4090.16,-721.073,5742.42
0.767945,6.37032,6150.15,-6345.44,-1023.87,8895.92
0.785398,0.33528,-17.2417,17.2312,0.455068,24.3803
0.785398,1.00584,-66.9446,66.8176,5.4819,94.7429
0.785398,1.6764,-144.618,144.079,23.2785,205.463
0.785398,2.34696,-102.177,102.34,-7.03481,144.787
0.785398,3.01752,103.635,-102.062,-67.9477,160.542
0.785398,3.68808,541.491,-537.691,-164.047,780.535
0.785398,4.35864,1279.99,-1273.04,-300.2,1830.06
0.785398,5.0292,2401.53,-2390.34,-483.098,3422.64
0.785398,5.69976,4036.33,-4019.55,-724.774,5742.3
0.785398,6.37032,6259.83,-6235.98,-1029.52,8895.66
0.802851,0.33528,-17.5409,16.9282,0.457984,24.3814
0.802851,1.00584,-68.1126,65.6454,5.50729,94.7574
