Azimuth Angle,Radius Location,Pitch_X,Pitch_Y,Pitch_Z,Pitch_Mag
0.139626,4.35864,2.54218,0.357279,0.00525829,2.56716
0.139626,5.0292,3.27938,0.460887,0.00678314,3.31162
0.139626,5.69976,4.02005,0.564981,0.00831515,4.05956
0.139626,6.37032,4.70036,0.660592,0.00972232,4.74656
0.15708,0.33528,-0.686269,-0.108694,-0.00151507,0.694825
0.15708,1.00584,-0.563311,-0.0892197,-0.00124362,0.570334
0.15708,1.6764,0.523116,0.0828535,0.00115488,0.529638
0.15708,2.34696,0.826415,0.130891,0.00182447,0.836718
0.15708,3.01752,1.29417,0.204976,0.00285713,1.31031
0.15708,3.68808,1.87013,0.2962,0.00412869,1.89345
0.15708,4.35864,2.53604,0.401669,0.00559879,2.56765
0.15708,5.0292,3.27146,0.518148,0.00722239,3.31225
0.15708,5.69976,4.01036,0.635179,0.00885366,4.06036
0.15708,6.37032,4.68933,0.742717,0.0103526,4.7478
0.174533,0.33528,-0.684308,-0.120662,-0.00161754,0.694867
0.174533,1.00584,-0.561951,-0.0990871,-0.00132832,0.570622
0.174533,1.6764,0.521743,0.0919974,0.00123328,0.529793
0.174533,2.34696,0.824235,0.145335,0.0019483,0.836953
0.174533,3.01752,1.2907,0.227584,0.0030509,1.31061
0.174533,3.68808,1.86506,0.32886,0.00440856,1.89384
0.174533,4.35864,2.52912,0.445952,0.00597825,2.56814
0.174533,5.0292,3.26254,0.575274,0.00771188,3.31288
0.174533,5.69976,3.99945,0.705211,0.00945376,4.06116
0.174533,6.37032,4.67686,0.824657,0.011055,4.74903
0.191986,0.33528,-0.682138,-0.132594,-0.0017305,0.694907
0.191986,1.00584,-0.560418,-0.108934,-0.00142171,0.570908
0.191986,1.6764,0.520209,0.101118,0.0013197,0.529947
0.191986,2.34696,0.821803,0.159742,0.00208481,0.837187
0.191986,3.01752,1.28683,0.250134,0.00326451,1.31091
0.191986,3.68808,1.85942,0.361434,0.0047171,1.89422
0.191986,4.35864,2.52143,0.490117,0.00639656,2.56864
0.191986,5.0292,3.25262,0.632246,0.00825149,3.31351
0.191986,5.69976,3.98732,0.775056,0.0101153,4.06196
0.191986,6.37032,4.66296,0.906388,0.0118293,4.75025
0.20944,0.33528,-0.679758,-0.144487,-0.0018539,0.694946
0.20944,1.00584,-0.558711,-0.118758,-0.00152377,0.571195
0.20944,1.6764,0.518515,0.110214,0.00141414,0.530101
0.20944,2.34696,0.819119,0.174109,0.00223398,0.837422
0.20944,3.01752,1.28256,0.272617,0.00349792,1.31122
0.20944,3.68808,1.8532,0.393911,0.00505423,1.89461
0.20944,4.35864,2.51298,0.53415,0.00685362,2.56913
0.20944,5.0292,3.24171,0.689047,0.00884109,3.31414
0.20944,5.69976,3.97396,0.844691,0.0108382,4.06276
0.20944,6.37032,4.64763,0.987884,0.0126754,4.75148
0.226893,0.33528,-0.677169,-0.156337,-0.00198771,0.694984
0.226893,1.00584,-0.556831,-0.128555,-0.00163448,0.57148
0.226893,1.6764,0.516661,0.119281,0.00151657,0.530253
0.226893,2.34696,0.816183,0.188431,0.00239576,0.837656
0.226893,3.01752,1.27791,0.295028,0.00375107,1.31152
0.226893,3.68808,1.84642,0.426281,0.00541986,1.895
0.226893,4.35864,2.50375,0.578036,0.00734933,2.56962
0.226893,5.0292,3.22981,0.74566,0.00948054,3.31478
0.226893,5.69976,3.95939,0.914097,0.0116221,4.06355
0.226893,6.37032,4.63087,1.06912,0.0135931,4.7527
0.244346,0.33528,-0.674372,-0.16814,-0.0021319,0.695021
0.244346,1.00584,-0.554779,-0.138322,-0.00175383,0.571765
0.244346,1.6764,0.514647,0.128316,0.00162696,0.530405
0.244346,2.34696,0.812997,0.202703,0.00257014,0.83789
0.244346,3.01752,1.27286,0.317359,0.0040239,1.31183
0.244346,3.68808,1.83908,0.458534,0.0058139,1.89539
0.244346,4.35864,2.49376,0.621764,0.00788354,2.57011
0.244346,5.0292,3.21691,0.802067,0.0101697,3.31541
0.244346,5.69976,3.9436,0.983251,0.012467,4.06435
0.244346,6.37032,4.61268,1.15007,0.0145821,4.75391
0.261799,0.33528,-0.671369,-0.179893,-0.00228642,0.695056
0.261799,1.00584,-0.552554,-0.148056,-0.00188178,0.572049
0.261799,1.6764,0.512474,0.137317,0.00174529,0.530555
0.261799,2.34696,0.80956,0.216921,0.00275705,0.838123
0.261799,3.01752,1.26742,0.339604,0.00431634,1.31214
0.261799,3.68808,1.83117,0.490661,0.00623626,1.89578
0.261799,4.35864,2.483,0.665319,0.00845614,2.57061
0.261799,5.0292,3.20304,0.858251,0.0109083,3.31604
0.261799,5.69976,3.92661,1.05213,0.0133725,4.06515
0.261799,6.37032,4.59307,1.23071,0.0156422,4.75512
0.279253,0.33528,-0.66816,-0.191592,-0.00245123,0.69509
0.279253,1.00584,-0.550157,-0.157755,-0.00201832,0.572332
0.279253,1.6764,0.510143,0.146281,0.00187153,0.530705
0.279253,2.34696,0.805875,0.231081,0.00295646,0.838356
0.279253,3.01752,1.26159,0.361755,0.00462831,1.31244
0.279253,3.68808,1.8227,0.522651,0.00668682,1.89617
0.279253,4.35864,2.47149,0.708687,0.00906697,2.5711
0.279253,5.0292,3.18817,0.914194,0.0116962,3.31668
0.279253,5.69976,3.90841,1.12072,0.0143385,4.06594
0.279253,6.37032,4.57205,1.31101,0.0167732,4.75633
0.296706,0.33528,-0.664745,-0.203233,-0.00262628,0.695123
0.296706,1.00584,-0.54759,-0.167415,-0.00216342,0.572614
0.296706,1.6764,0.507654,0.155206,0.00200564,0.530854
0.296706,2.34696,0.80194,0.245178,0.00316831,0.838588
0.296706,3.01752,1.25538,0.383807,0.00495974,1.31275
0.296706,3.68808,1.81367,0.554495,0.00716547,1.89656
