Azimuth Angle,Radius Location,Lift_X,Lift_Y,Lift_Z,Lift_Mag
0.174533,2.34696,0,0.0504824,-2.3335,2.33405
0.174533,3.01752,0,1.31184,109.151,109.158
0.174533,3.68808,0,9.05114,269.362,269.514
0.174533,4.35864,0,23.2397,477.965,478.53
0.174533,5.0292,0,44.0673,738.428,739.742
0.174533,5.69976,0,72.5884,1065.06,1067.53
0.174533,6.37032,0,108.802,1453.39,1457.46
0.191986,0.33528,0,6.38515,-7.76706,10.0547
0.191986,1.00584,0,7.22842,-33.3234,34.0983
0.191986,1.6764,0,5.23071,-64.267,64.4795
0.191986,2.34696,0,0.0506341,-2.34019,2.34074
0.191986,3.01752,0,1.31044,109.137,109.145
0.191986,3.68808,0,9.04597,269.334,269.485
0.191986,4.35864,0,23.2285,477.916,478.48
0.191986,5.0292,0,44.0484,738.358,739.671
0.191986,5.69976,0,72.5589,1064.95,1067.42
0.191986,6.37032,0,108.76,1453.24,1457.31
0.20944,0.33528,0,6.38755,-7.77698,10.0639
0.20944,1.00584,0,7.23082,-33.3471,34.122
0.20944,1.6764,0,5.23016,-64.2735,64.4859
0.20944,2.34696,0,0.0507727,-2.34631,2.34686
0.20944,3.01752,0,1.30909,109.124,109.132
0.20944,3.68808,0,9.04092,269.307,269.458
0.20944,4.35864,0,23.2176,477.868,478.432
0.20944,5.0292,0,44.0299,738.291,739.603
0.20944,5.69976,0,72.5298,1064.85,1067.32
0.20944,6.37032,0,108.718,1453.11,1457.17
0.226893,0.33528,0,6.38993,-7.78687,10.0731
0.226893,1.00584,0,7.23321,-33.3708,34.1457
0.226893,1.6764,0,5.22957,-64.2797,64.4921
0.226893,2.34696,0,0.0508984,-2.35186,2.35241
0.226893,3.01752,0,1.30777,109.112,109.119
0.226893,3.68808,0,9.03598,269.281,269.433
0.226893,4.35864,0,23.2069,477.823,478.386
0.226893,5.0292,0,44.0117,738.227,739.538
0.226893,5.69976,0,72.5012,1064.76,1067.22
0.226893,6.37032,0,108.677,1452.97,1457.03
0.244346,0.33528,0,6.3923,-7.79673,10.0822
0.244346,1.00584,0,7.23558,-33.3944,34.1693
0.244346,1.6764,0,5.22894,-64.2856,64.4979
0.244346,2.34696,0,0.0510113,-2.35684,2.3574
0.244346,3.01752,0,1.30649,109.1,109.108
0.244346,3.68808,0,9.03116,269.257,269.409
0.244346,4.35864,0,23.1964,477.78,478.342
0.244346,5.0292,0,43.9938,738.166,739.475
0.244346,5.69976,0,72.4731,1064.66,1067.13
0.244346,6.37032,0,108.636,1452.84,1456.9
0.261799,0.33528,0,6.39465,-7.80656,10.0913
0.261799,1.00584,0,7.23794,-33.4181,34.1929
0.261799,1.6764,0,5.22827,-64.2911,64.5034
0.261799,2.34696,0,0.0511115,-2.36127,2.36183
0.261799,3.01752,0,1.30525,109.09,109.098
0.261799,3.68808,0,9.02646,269.234,269.386
0.261799,4.35864,0,23.1861,477.738,478.3
0.261799,5.0292,0,43.9763,738.107,739.415
0.261799,5.69976,0,72.4455,1064.57,1067.03
0.261799,6.37032,0,108.596,1452.71,1456.77
0.279253,0.33528,0,6.39698,-7.81634,10.1003
0.279253,1.00584,0,7.24028,-33.4417,34.2165
0.279253,1.6764,0,5.22755,-64.2964,64.5086
0.279253,2.34696,0,0.0511992,-2.36515,2.36571
0.279253,3.01752,0,1.30405,109.081,109.089
0.279253,3.68808,0,9.02186,269.213,269.364
0.279253,4.35864,0,23.1761,477.698,478.26
0.279253,5.0292,0,43.9591,738.05,739.358
0.279253,5.69976,0,72.4183,1064.49,1066.95
0.279253,6.37032,0,108.557,1452.59,1456.64
0.296706,0.33528,0,6.3993,-7.82609,10.1093
0.296706,1.00584,0,7.24261,-33.4652,34.24
0.296706,1.6764,0,5.2268,-64.3013,64.5134
0.296706,2.34696,0,0.0512746,-2.36849,2.36905
0.296706,3.01752,0,1.30289,109.072,109.08
0.296706,3.68808,0,9.01739,269.193,269.344
0.296706,4.35864,0,23.1662,477.661,478.222
0.296706,5.0292,0,43.9422,737.996,739.303
0.296706,5.69976,0,72.3917,1064.4,1066.86
0.296706,6.37032,0,108.518,1452.48,1456.52
0.314159,0.33528,0,6.40159,-7.8358,10.1183
0.314159,1.00584,0,7.24492,-33.4887,34.2634
0.314159,1.6764,0,5.226,-64.306,64.518
0.314159,2.34696,0,0.0513379,-2.3713,2.37186
0.314159,3.01752,0,1.30177,109.065,109.073
0.314159,3.68808,0,9.01303,269.174,269.325
0.314159,4.35864,0,23.1566,477.625,478.186
0.314159,5.0292,0,43.9257,737.945,739.251
0.314159,5.69976,0,72.3656,1064.32,1066.78
0.314159,6.37032,0,108.48,1452.36,1456.41
0.331613,0.33528,0,6.40387,-7.84546,10.1272
0.331613,1.00584,0,7.24721,-33.5121,34.2868
0.331613,1.6764,0,5.22517,-64.3103,64.5223
0.331613,2.34696,0,0.0513892,-2.37359,2.37414
0.331613,3.01752,0,1.30069,109.058,109.066
0.331613,3.68808,0,9.00878,269.157,269.308
0.331613,4.35864,0,23.1472,477.59,478.151
0.331613,5.0292,0,43.9095,737.896,739.201
0.331613,5.69976,0,72.3399,1064.25,1066.7
0.331613,6.37032,0,108.443,1452.25,1456.3
0.349066,0.33528,0,6.40612,-7.85507,10.1361
0.349066,1.00584,0,7.24949,-33.5354,34.3101
0.349066,1.6764,0,5.2243,-64.3144,64.5262
0.349066,2.34696,0,0.0514288,-2.37536,2.37591
0.349066,3.01752,0,1.29965,109.052,109.06
0.349066,3.68808,0,9.00464,269.141,269.291
0.349066,4.35864,0,23.1379,477.558,478.118
0.349066,5.0292,0,43.8936,737.849,739.153
0.349066,5.69976,0,72.3147,1064.17,1066.63
0.349066,6.37032,0,108.406,1452.15,1456.19
0.366519,0.33528,0,6.40836,-7.86463,10.1449
0.366519,1.00584,0,7.25174,-33.5587,34.3332
0.366519,1.6764,0,5.22339,-64.3181,64.5299
0.366519,2.34696,0,0.051457,-2.37662,2.37718
0.366519,3.01752,0,1.29864,109.047,109.055
0.366519,3.68808,0,9.00061,269.126,269.276
0.366519,4.35864,0,23.1289,477.527,478.087
0.366519,5.0292,0,43.8781,737.805,739.108
0.366519,5.69976,0,72.29,1064.1,1066.55
0.366519,6.37032,0,108.37,1452.05,1456.09
0.383972,0.33528,0,6.41057,-7.87413,10.1537
0.383972,1.00584,0,7.25397,-33.5818,34.3563
0.383972,1.6764,0,5.22245,-64.3216,64.5332
0.383972,2.34696,0,0.0514738,-2.37739,2.37795
0.383972,3.01752,0,1.29768,109.043,109.05
0.383972,3.68808,0,8.9967,269.112,269.262
0.383972,4.35864,0,23.1201,477.498,478.058
0.383972,5.0292,0,43.8628,737.763,739.065
0.383972,5.69976,0,72.2658,1064.03,1066.48
0.383972,6.37032,0,108.335,1451.95,1455.99
0.401426,0.33528,0,6.41276,-7.88357,10.1624
0.401426,1.00584,0,7.25618,-33.6048,34.3793
0.401426,1.6764,0,5.22147,-64.3247,64.5363
0.401426,2.34696,0,0.0514797,-2.37768,2.37824
0.401426,3.01752,0,1.29675,109.039,109.047
0.401426,3.68808,0,8.99289,269.099,269.249
0.401426,4.35864,0,23.1115,477.471,478.03
0.401426,5.0292,0,43.848,737.723,739.025
0.401426,5.69976,0,72.2421,1063.97,1066.42
0.401426,6.37032,0,108.301,1451.86,1455.89
0.418879,0.33528,0,6.41492,-7.89294,10.171
0.418879,1.00584,0,7.25837,-33.6277,34.4022
0.418879,1.6764,0,5.22046,-64.3276,64.5391
0.418879,2.34696,0,0.0514747,-2.3775,2.37806
0.418879,3.01752,0,1.29585,109.036,109.044
0.418879,3.68808,0,8.98919,269.087,269.238
0.418879,4.35864,0,23.1031,477.445,478.004
0.418879,5.0292,0,43.8334,737.685,738.986
0.418879,5.69976,0,72.2188,1063.91,1066.36
0.418879,6.37032,0,108.267,1451.77,1455.8
0.436332,0.33528,0,6.41706,-7.90225,10.1796
0.436332,1.00584,0,7.26054,-33.6505,34.4249
0.436332,1.6764,0,5.21942,-64.3302,64.5416
0.436332,2.34696,0,0.0514593,-2.37685,2.37741
0.436332,3.01752,0,1.29499,109.034,109.042
0.436332,3.68808,0,8.9856,269.077,269.227
0.436332,4.35864,0,23.0949,477.421,477.979
0.436332,5.0292,0,43.8191,737.65,738.95
0.436332,5.69976,0,72.1961,1063.85,1066.3
0.436332,6.37032,0,108.233,1451.68,1455.71
0.453786,0.33528,0,6.41918,-7.91149,10.1881
0.453786,1.00584,0,7.26268,-33.6732,34.4475
0.453786,1.6764,0,5.21835,-64.3325,64.5438
0.453786,2.34696,0,0.0514337,-2.37576,2.37632
0.453786,3.01752,0,1.29417,109.033,109.04
0.453786,3.68808,0,8.98211,269.068,269.217
0.453786,4.35864,0,23.0869,477.398,477.956
0.453786,5.0292,0,43.8052,737.616,738.916
0.453786,5.69976,0,72.1737,1063.79,1066.24
0.453786,6.37032,0,108.201,1451.6,1455.63
0.471239,0.33528,0,6.42127,-7.92066,10.1965
0.471239,1.00584,0,7.2648,-33.6957,34.4699
0.471239,1.6764,0,5.21724,-64.3345,64.5457
0.471239,2.34696,0,0.0513981,-2.37423,2.37479
0.471239,3.01752,0,1.29338,109.032,109.04
0.471239,3.68808,0,8.97873,269.059,269.209
0.471239,4.35864,0,23.0791,477.377,477.934
0.471239,5.0292,0,43.7916,737.584,738.883
0.471239,5.69976,0,72.1519,1063.74,1066.18
0.471239,6.37032,0,108.169,1451.52,1455.55
0.488692,0.33528,0,6.42333,-7.92975,10.2049
0.488692,1.00584,0,7.26689,-33.718,34.4922
0.488692,1.6764,0,5.21611,-64.3362,64.5473
0.488692,2.34696,0,0.0513529,-2.37228,2.37284
0.488692,3.01752,0,1.29263,109.032,109.04
0.488692,3.68808,0,8.97545,269.052,269.201
0.488692,4.35864,0,23.0715,477.357,477.914
0.488692,5.0292,0,43.7783,737.554,738.853
0.488692,5.69976,0,72.1305,1063.69,1066.13
0.488692,6.37032,0,108.137,1451.45,1455.47
0.506145,0.33528,0,6.42536,-7.93876,10.2132
0.506145,1.00584,0,7.26895,-33.7402,34.5143
0.506145,1.6764,0,5.21495,-64.3377,64.5487
0.506145,2.34696,0,0.0512984,-2.36992,2.37048
0.506145,3.01752,0,1.29191,109.033,109.04
0.506145,3.68808,0,8.97226,269.045,269.195
0.506145,4.35864,0,23.0641,477.338,477.895
0.506145,5.0292,0,43.7653,737.526,738.824
0.506145,5.69976,0,72.1095,1063.64,1066.08
0.506145,6.37032,0,108.106,1451.37,1455.4
0.523599,0.33528,0,6.42737,-7.94769,10.2214
0.523599,1.00584,0,7.27099,-33.7622,34.5363
0.523599,1.6764,0,5.21377,-64.3389,64.5498
0.523599,2.34696,0,0.0512348,-2.36716,2.36772
0.523599,3.01752,0,1.29122,109.034,109.041
0.523599,3.68808,0,8.96918,269.04,269.189
0.523599,4.35864,0,23.0569,477.321,477.877
0.523599,5.0292,0,43.7525,737.5,738.797
0.523599,5.69976,0,72.089,1063.59,1066.03
0.523599,6.37032,0,108.076,1451.31,1455.32
0.541052,0.33528,0,6.42935,-7.95653,10.2295
0.541052,1.00584,0,7.273,-33.784,34.558
0.541052,1.6764,0,5.21256,-64.3398,64.5506
0.541052,2.34696,0,0.0511625,-2.36402,2.36458
0.541052,3.01752,0,1.29057,109.035,109.043
0.541052,3.68808,0,8.9662,269.035,269.184
0.541052,4.35864,0,23.0498,477.305,477.861
0.541052,5.0292,0,43.7401,737.475,738.771
0.541052,5.69976,0,72.0689,1063.55,1065.99
0.541052,6.37032,0,108.047,1451.24,1455.26
0.558505,0.33528,0,6.4313,-7.96528,10.2375
0.558505,1.00584,0,7.27498,-33.8056,34.5796
