17.00,0.0625700,0.0978800,0.1999500,0.2195067,0.2348927
18.00,0.0877100,0.1296600,0.2218150,0.2318150,0.2460223
19.00,0.1172800,0.1688600,0.2424200,0.2441233,0.2571519
20.00,0.1482000,0.2014700,0.2553900,0.2564317,0.2682814
30.00,0.3299777,0.3206800,0.4187973,0.4197573,0.4306781
40.00,0.5396113,0.5313870,0.6181769,0.6190260,0.6286861
50.00,0.7625532,0.7556522,0.8284775,0.8291901,0.8372958
60.00,0.9718172,0.9664492,1.0230973,1.0236515,1.0299567
70.00,1.1420518,1.1383799,1.1771294,1.1775086,1.1818215
80.00,1.2526011,1.2507368,1.2704105,1.2706030,1.2727927
90.00,1.2900000,1.2900000,1.2900000,1.2900000,1.2900000
100.00,1.2526011,1.2507368,1.2704105,1.2706030,1.2727927
110.00,1.1420518,1.1383799,1.1771294,1.1775086,1.1818215
120.00,0.9718172,0.9664492,1.0230973,1.0236515,1.0299567
130.00,0.7625532,0.7556522,0.8284775,0.8291901,0.8372958
140.00,0.5396113,0.5313870,0.6181769,0.6190260,0.6286861
150.00,0.3299777,0.3206800,0.4187973,0.4197573,0.4306781
160.00,0.1590151,0.1489265,0.2553900,0.2564317,0.2682814
170.00,0.0474016,0.0368286,0.1484035,0.1494951,0.1619138
180.00,0.0086345,0.0100000,0.1111945,0.1123030,0.1249133
