cd,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
11.0,0.02047905,0.02047905,0.02047905,0.02047905,0.02277782,0.05951489,0.11295477,0.14963095,0.18622364,0.35743034
12.0,0.02331384,0.02331384,0.02331384,0.02331384,0.02920312,0.08869939,0.13324469,0.16824204,0.20726641,0.39269230
13.0,0.02731698,0.02731698,0.02731698,0.02731698,0.04113523,0.10559943,0.15190779,0.18790586,0.22949174,0.42959467
14.0,0.03357104,0.03357104,0.03357104,0.03357104,0.06445639,0.12512854,0.17354085,0.20836815,0.25267312,0.46790847
15.0,0.04553675,0.04553675,0.04553675,0.04553675,0.09946759,0.14793634,0.19515322,0.22961557,0.27681822,0.50741458
16.0,0.08510167,0.08510167,0.08510167,0.08510167,0.13006558,0.17158458,0.21756239,0.25173548,0.30175108,0.54790938
17.0,0.13890454,0.13890454,0.13890454,0.13890454,0.15871725,0.19677457,0.24042997,0.27471334,0.32709837,0.58925533
18.0,0.16920194,0.16920194,0.16920194,0.16920194,0.18514565,0.22086206,0.26304227,0.29828268,0.35320371,0.63130438
19.0,0.19662443,0.19662443,0.19662443,0.19662443,0.21104293,0.24391726,0.28561151,0.32214209,0.37987062,0.67395818
20.0,0.22339961,0.22339961,0.22339961,0.22339961,0.23698089,0.26719636,0.30875012,0.34664786,0.40756673,0.71721685
21.0,0.25022477,0.25022477,0.25022477,0.25022477,0.26379448,0.29251033,0.33273676,0.37183413,0.43571678,0.76109505
22.0,0.27893791,0.27893791,0.27893791,0.27893791,0.29425058,0.32159144,0.35750631,0.39774537,0.46418399,0.80551016
23.0,0.31632713,0.31632713,0.31632713,0.31632713,0.32871476,0.34902337,0.38309526,0.42445976,0.49297199,0.85033768
24.0,0.34755617,0.34755617,0.34755617,0.34755617,0.35700214,0.37538883,0.40929872,0.45163837,0.52221149,0.89560211
25.0,0.37401685,0.37401685,0.37401685,0.37401685,0.38331422,0.40212804,0.43586713,0.47924200,0.55183995,0.94114703
30.0,0.51271355,0.51271355,0.51271355,0.51271355,0.52428114,0.54307407,0.57289028,0.62056565,0.70399469,1.16272521
60.0,1.20718586,1.20718586,1.20718586,1.20718586,1.23306954,1.27031112,1.32301748,1.39927673,1.52037644,2.06968212
90.0,1.49564350,1.49564350,1.49564350,1.49564350,1.52420378,1.56614590,1.62564754,1.71366632,1.84518218,2.43081117
120.0,1.17434657,1.17434657,1.17434657,1.17434657,1.19833767,1.23609853,1.29315948,1.38179874,1.50814402,2.06797934
150.0,0.48183507,0.48183507,0.48183507,0.48183507,0.49271616,0.51170641,0.54263902,0.60414553,0.69755322,1.14355159
180.0,0.01686065,0.01686065,0.01686065,0.01686065,0.01660029,0.01670231,0.01722632,0.01848747,0.02854487,0.11411927
