Azimuth Angle,Radius Location,Lift_X,Lift_Y,Lift_Z,Lift_Mag
0.15708,4.35864,105.667,39.579,1199.58,1204.88
0.15708,5.0292,138.91,48.9155,1571.7,1578.58
0.15708,5.69976,178.31,59.7029,2012.24,2021.01
0.15708,6.37032,223.513,71.7614,2517.15,2528.07
0.174533,0.33528,2.583,4.29921,35.6756,36.0264
0.174533,1.00584,9.65068,8.066,118.236,118.903
0.174533,1.6764,20.7023,12.4251,244.451,245.641
0.174533,2.34696,35.7546,17.475,414.687,416.592
0.174533,3.01752,54.8381,23.2403,629.314,632.126
0.174533,3.68808,77.915,29.7064,887.902,891.809
0.174533,4.35864,104.998,36.8808,1190.6,1195.79
0.174533,5.0292,137.935,45.3727,1558.29,1565.04
0.174533,5.69976,176.83,55.1185,1991.95,2000.55
0.174533,6.37032,221.539,66.0153,2489.87,2500.57
0.191986,0.33528,2.75729,4.39675,38.4427,38.7915
0.191986,1.00584,9.88184,7.94938,121.621,122.28
0.191986,1.6764,20.9141,12.0094,247.44,248.612
0.191986,2.34696,35.8782,16.6642,416.337,418.212
0.191986,3.01752,54.7694,21.9202,628.274,631.037
0.191986,3.68808,77.5793,27.7777,883.164,887
0.191986,4.35864,104.324,34.244,1181.19,1186.29
0.191986,5.0292,136.957,41.9169,1544.39,1551.01
0.191986,5.69976,175.35,50.6588,1971.1,1979.53
0.191986,6.37032,219.601,60.4424,2462.31,2472.82
0.20944,0.33528,2.93524,4.48546,41.269,41.6157
0.20944,1.00584,10.1111,7.82137,124.95,125.602
0.20944,1.6764,21.1208,11.5862,250.285,251.441
0.20944,2.34696,35.9877,15.8518,417.684,419.531
0.20944,3.01752,54.6837,20.6138,626.84,629.559
0.20944,3.68808,77.2358,25.8869,878.073,881.843
0.20944,4.35864,103.644,31.6709,1171.38,1176.38
0.20944,5.0292,135.972,38.551,1529.99,1536.5
0.20944,5.69976,173.866,46.327,1949.69,1957.97
0.20944,6.37032,217.696,55.0443,2434.51,2444.84
0.226893,0.33528,3.10708,4.55118,44.0148,44.3585
0.226893,1.00584,10.3382,7.68236,128.217,128.862
0.226893,1.6764,21.3221,11.1565,252.983,254.125
0.226893,2.34696,36.0731,15.0358,418.62,420.44
0.226893,3.01752,54.5888,19.3266,625.115,627.792
0.226893,3.68808,76.883,24.0359,872.632,876.342
0.226893,4.35864,102.956,29.1637,1161.17,1166.09
