Azimuth Angle,Radius Location,Pitch_X,Pitch_Y,Pitch_Z,Pitch_Mag
0.139626,1.6764,0.107204,0.0150665,-0.00996329,0.108715
0.139626,2.34696,0.302691,0.0425405,-0.0281314,0.306958
0.139626,3.01752,0.567374,0.0797393,-0.0527305,0.575372
0.139626,3.68808,0.908431,0.127672,-0.0844275,0.921235
0.139626,4.35864,1.32586,0.186338,-0.123223,1.34455
0.139626,5.0292,1.46206,0.205479,-0.135881,1.48267
0.139626,5.69976,1.20319,0.169097,-0.111822,1.22015
0.139626,6.37032,0.244498,0.0343619,-0.0227231,0.247944
0.15708,0.33528,-0.0528682,-0.00837349,0.00493322,0.053754
0.15708,1.00584,0.00129068,0.000204424,-0.000120436,0.00131231
0.15708,1.6764,0.139607,0.0221116,-0.013027,0.141947
0.15708,2.34696,0.349775,0.0553989,-0.0326381,0.355636
0.15708,3.01752,0.639265,0.10125,-0.0596509,0.649977
0.15708,3.68808,1.00997,0.159964,-0.0942421,1.02689
0.15708,4.35864,1.45204,0.22998,-0.135492,1.47637
0.15708,5.0292,1.60238,0.253791,-0.14952,1.62923
0.15708,5.69976,1.42178,0.225188,-0.132669,1.4456
0.15708,6.37032,0.490596,0.0777028,-0.0457784,0.498817
0.174533,0.33528,-0.0513587,-0.00905593,0.0048098,0.0523723
0.174533,1.00584,0.0175668,0.0030975,-0.00164515,0.0179135
0.174533,1.6764,0.1697,0.0299228,-0.0158926,0.17305
0.174533,2.34696,0.398126,0.0702004,-0.037285,0.405984
0.174533,3.01752,0.712532,0.125639,-0.0667294,0.726594
0.174533,3.68808,1.10038,0.194027,-0.103052,1.1221
0.174533,4.35864,1.56594,0.276117,-0.146652,1.59685
0.174533,5.0292,1.74534,0.30775,-0.163453,1.77978
0.174533,5.69976,1.64659,0.290339,-0.154205,1.67909
0.174533,6.37032,0.767489,0.135329,-0.0718762,0.782636
0.191986,0.33528,-0.0473276,-0.00919956,0.00444672,0.0484181
0.191986,1.00584,0.0337042,0.00655142,-0.00316671,0.0344807
0.191986,1.6764,0.198964,0.0386746,-0.0186939,0.203548
0.191986,2.34696,0.447676,0.0870195,-0.042062,0.457991
0.191986,3.01752,0.777892,0.151207,-0.0730878,0.795815
0.191986,3.68808,1.18711,0.23075,-0.111536,1.21446
0.191986,4.35864,1.68071,0.326697,-0.157913,1.71943
0.191986,5.0292,1.89284,0.36793,-0.177844,1.93645
0.191986,5.69976,1.87735,0.364921,-0.176389,1.92061
0.191986,6.37032,1.07506,0.208971,-0.101009,1.09983
0.20944,0.33528,-0.0424389,-0.00902066,0.00399889,0.0435709
0.20944,1.00584,0.0508511,0.0108087,-0.00479155,0.0522075
0.20944,1.6764,0.229243,0.0487271,-0.0216009,0.235358
0.20944,2.34696,0.495841,0.105394,-0.0467217,0.509067
0.20944,3.01752,0.841211,0.178805,-0.0792648,0.86365
0.20944,3.68808,1.27465,0.270935,-0.120107,1.30865
0.20944,4.35864,1.79616,0.381786,-0.169247,1.84407
0.20944,5.0292,2.04469,0.434613,-0.192665,2.09923
0.20944,5.69976,2.11375,0.449292,-0.199173,2.17013
0.20944,6.37032,1.41309,0.300362,-0.133151,1.45078
0.226893,0.33528,-0.0365933,-0.00844822,0.00345674,0.0377146
0.226893,1.00584,0.0689917,0.015928,-0.00651721,0.0711057
0.226893,1.6764,0.260495,0.0601399,-0.0246073,0.268477
0.226893,2.34696,0.539439,0.124539,-0.0509574,0.555968
0.226893,3.01752,0.905321,0.20901,-0.08552,0.933062
0.226893,3.68808,1.36288,0.314646,-0.128743,1.40464
0.226893,4.35864,1.91212,0.441448,-0.180626,1.97072
0.226893,5.0292,2.19883,0.507639,-0.207709,2.2662
0.226893,5.69976,2.32713,0.53726,-0.219829,2.39844
0.226893,6.37032,1.67896,0.387618,-0.1586,1.7304
0.244346,0.33528,-0.0298423,-0.00744051,0.00282506,0.0308853
0.244346,1.00584,0.0868014,0.021642,-0.00821718,0.0898353
0.244346,1.6764,0.292656,0.0729672,-0.0277046,0.302884
0.244346,2.34696,0.58378,0.145553,-0.0552644,0.604185
0.244346,3.01752,0.970105,0.241874,-0.0918364,1.00401
0.244346,3.68808,1.45164,0.361934,-0.137421,1.50238
0.244346,4.35864,2.01642,0.502751,-0.190887,2.0869
0.244346,5.0292,2.31971,0.57837,-0.219599,2.40079
0.244346,5.69976,2.51201,0.626314,-0.237803,2.59981
0.244346,6.37032,1.93928,0.483517,-0.183585,2.00706
0.261799,0.33528,-0.0222639,-0.00596559,0.0021114,0.0231458
0.261799,1.00584,0.103665,0.027777,-0.0098311,0.107771
0.261799,1.6764,0.320769,0.0859499,-0.0304202,0.333475
0.261799,2.34696,0.628787,0.168483,-0.0596311,0.653694
0.261799,3.01752,1.03545,0.277447,-0.0981968,1.07646
0.261799,3.68808,1.52692,0.409137,-0.144806,1.5874
0.261799,4.35864,2.10927,0.565176,-0.200032,2.19281
0.261799,5.0292,2.44312,0.654632,-0.231693,2.53989
0.261799,5.69976,2.70003,0.723472,-0.256058,2.80698
0.261799,6.37032,2.21803,0.594318,-0.210347,2.30588
0.279253,0.33528,-0.0146975,-0.00421444,0.00139582,0.0153534
0.279253,1.00584,0.12127,0.0347737,-0.011517,0.126682
0.279253,1.6764,0.34952,0.100223,-0.0331939,0.365117
0.279253,2.34696,0.674377,0.193374,-0.0640455,0.704471
0.279253,3.01752,1.09135,0.31294,-0.103646,1.14005
0.279253,3.68808,1.59872,0.458425,-0.15183,1.67006
0.279253,4.35864,2.20184,0.631369,-0.209109,2.3001
0.279253,5.0292,2.56883,0.736601,-0.243962,2.68347
0.279253,5.69976,2.89088,0.828947,-0.274547,3.01989
0.279253,6.37032,2.51469,0.721076,-0.23882,2.62691
0.296706,0.33528,-0.00632007,-0.00193224,0.000600853,0.00663611
0.296706,1.00584,0.139588,0.0426763,-0.0132707,0.146568
0.296706,1.6764,0.378855,0.115827,-0.0360179,0.397799
0.296706,2.34696,0.717714,0.219427,-0.0682335,0.753603
0.296706,3.01752,1.14499,0.350057,-0.108855,1.20224
0.296706,3.68808,1.67041,0.510696,-0.158807,1.75394
0.296706,4.35864,2.28398,0.698282,-0.217139,2.39819
0.296706,5.0292,2.69664,0.824444,-0.256371,2.83148
0.296706,5.69976,3.08422,0.94294,-0.293219,3.23844
0.296706,6.37032,2.82871,0.864822,-0.268927,2.97015
0.314159,0.33528,0.00286267,0.000930136,-0.000272346,0.00302228
0.314159,1.00584,0.158585,0.0515272,-0.0150873,0.167427
0.314159,1.6764,0.408718,0.1328,-0.0388843,0.431507
0.314159,2.34696,0.755929,0.245616,-0.0719171,0.798077
0.314159,3.01752,1.19867,0.389471,-0.114038,1.2655
0.314159,3.68808,1.74188,0.565969,-0.165717,1.839
0.314159,4.35864,2.36534,0.768547,-0.225033,2.49723
0.314159,5.0292,2.8263,0.918321,-0.268887,2.98389
0.314159,5.69976,3.26039,1.05936,-0.310185,3.44218
0.314159,6.37032,3.06436,0.995671,-0.291535,3.23522
0.331613,0.33528,0.0115848,0.00398897,-0.00110253,0.0123018
0.331613,1.00584,0.175757,0.0605181,-0.0167268,0.186636
0.331613,1.6764,0.439026,0.151169,-0.0417821,0.466199
0.331613,2.34696,0.794316,0.273505,-0.0755951,0.843479
0.331613,3.01752,1.25229,0.431199,-0.119181,1.3298
0.331613,3.68808,1.81296,0.624253,-0.17254,1.92517
0.331613,4.35864,2.44103,0.840514,-0.232313,2.59212
0.331613,5.0292,2.9262,1.00757,-0.278487,3.10732
0.331613,5.69976,3.40454,1.17228,-0.324011,3.61527
0.331613,6.37032,3.27254,1.12683,-0.311448,3.47509
0.349066,0.33528,0.0207451,0.00755062,-0.00197428,0.0221646
0.349066,1.00584,0.193132,0.0702941,-0.01838,0.206347
0.349066,1.6764,0.464669,0.169126,-0.0442218,0.496464
0.349066,2.34696,0.832794,0.303112,-0.0792557,0.889778
0.349066,3.01752,1.30574,0.475252,-0.124266,1.39509
