Azimuth Angle,Radius Location,Moment_X,Moment_Y,Moment_Z,Moment_Mag
0.15708,1.00584,9.38783,-56.4021,4.87206,57.3852
0.15708,1.6764,49.1315,-304.414,9.82822,308.51
0.15708,2.34696,132.155,-825.671,14.8116,836.311
0.15708,3.01752,272.751,-1711,18.8068,1732.71
0.15708,3.68808,485.204,-3051.21,20.7844,3089.62
0.15708,4.35864,783.532,-4935.5,19.557,4997.35
0.15708,5.0292,1197.5,-7551.42,15.7817,7645.79
0.15708,5.69976,1750.89,-11049.3,9.07703,11187.2
0.15708,6.37032,2460.83,-15540.2,-5.22764,15733.8
0.174533,0.33528,-1.21972,7.4724,1.04498,7.64307
0.174533,1.00584,10.9508,-59.7129,4.50412,60.8756
0.174533,1.6764,55.2371,-308.822,8.36669,313.834
0.174533,2.34696,146.976,-827.577,11.2323,840.602
0.174533,3.01752,301.687,-1704.69,11.7994,1731.22
0.174533,3.68808,534.53,-3026.92,8.56477,3073.77
0.174533,4.35864,860.914,-4882.39,0.16861,4957.72
0.174533,5.0292,1314.65,-7462.78,-13.1952,7577.7
0.174533,5.69976,1919.41,-10902.9,-32.6473,11070.6
0.174533,6.37032,2695.97,-15323.2,-63.1809,15558.6
0.191986,0.33528,-1.17282,6.53628,1.03985,6.72159
0.191986,1.00584,12.6068,-62.8706,4.10805,64.2536
0.191986,1.6764,61.4388,-312.755,6.86899,318.807
0.191986,2.34696,161.805,-828.715,7.65598,844.398
0.191986,3.01752,330.135,-1696.09,4.77235,1727.93
0.191986,3.68808,582.802,-2999.95,-3.50055,3056.04
0.191986,4.35864,936.368,-4826.28,-18.7912,4916.31
0.191986,5.0292,1428.66,-7369.84,-41.466,7507.16
0.191986,5.69976,2082.83,-10750.6,-73.2286,10950.8
0.191986,6.37032,2924.12,-15100.9,-119.188,15381.9
0.20944,0.33528,-1.09009,5.58503,1.02991,5.78287
0.20944,1.00584,14.3621,-65.9311,3.69348,67.5783
0.20944,1.6764,67.7415,-316.326,5.35226,323.543
0.20944,2.34696,176.568,-828.885,4.06904,847.493
0.20944,3.01752,358.131,-1685.85,-2.19663,1723.47
0.20944,3.68808,630.041,-2970.91,-15.3366,3037.02
0.20944,4.35864,1009.8,-4767.25,-37.3002,4873.17
0.20944,5.0292,1539.37,-7272.74,-68.9992,7434.19
0.20944,5.69976,2240.97,-10592.9,-112.626,10827.9
0.20944,6.37032,3145.18,-14873.7,-173.218,15203.6
0.226893,0.33528,-0.981849,4.66496,1.00718,4.8724
0.226893,1.00584,16.2119,-68.8871,3.2614,70.8442
0.226893,1.6764,74.1296,-319.528,3.81969,328.036
0.226893,2.34696,191.165,-827.839,0.455807,849.625
0.226893,3.01752,385.679,-1674.27,-9.06656,1718.14
0.226893,3.68808,676.177,-2939.86,-26.9281,3016.74
0.226893,4.35864,1081.1,-4705.4,-55.3378,4828.31
0.226893,5.0292,1646.6,-7171.41,-95.7835,7358.64
0.226893,5.69976,2392.93,-10426.7,-151.062,10698.9
0.226893,6.37032,3355.91,-14628.7,-226.457,15010.4
0.244346,0.33528,-0.841425,3.74617,0.978159,3.96214
0.244346,1.00584,18.1382,-71.6825,2.80717,73.9949
0.244346,1.6764,80.5873,-322.355,2.27467,332.283
0.244346,2.34696,205.651,-826.012,-3.13236,851.233
0.244346,3.01752,412.731,-1661.38,-15.8259,1711.95
0.244346,3.68808,721.14,-2906.86,-38.2581,2995.22
0.244346,4.35864,1149.81,-4639.36,-72.9959,4780.28
0.244346,5.0292,1749.19,-7061.96,-122.104,7276.39
0.244346,5.69976,2538.26,-10252,-188.504,10563.2
0.244346,6.37032,3557.68,-14374.6,-278.02,14811
0.261799,0.33528,-0.668347,2.82825,0.943525,3.05547
0.261799,1.00584,20.1265,-74.2886,2.32994,77.0019
0.261799,1.6764,87.0219,-324.525,0.693153,335.991
0.261799,2.34696,219.998,-823.41,-6.68865,852.319
0.261799,3.01752,439.241,-1647.22,-22.4639,1704.93
0.261799,3.68808,764.469,-2870.53,-49.4227,2970.99
0.261799,4.35864,1215.79,-4569.31,-90.2356,4729.15
0.261799,5.0292,1847.94,-6948.82,-147.571,7191.86
0.261799,5.69976,2677.61,-10072.5,-224.609,10424.7
0.261799,6.37032,3751.06,-14115.1,-327.569,14608.7
0.279253,0.33528,-0.472019,1.94376,0.898662,2.19285
0.279253,1.00584,22.1867,-76.7653,1.83875,79.9284
0.279253,1.6764,93.4815,-326.305,-0.893143,339.432
0.279253,2.34696,234.174,-820.043,-10.2068,852.884
0.279253,3.01752,464.916,-1630.97,-29.0361,1696.19
0.279253,3.68808,806.334,-2832,-60.3161,2945.17
0.279253,4.35864,1279.28,-4496.78,-106.926,4676.43
0.279253,5.0292,1942.75,-6832.19,-172.161,7105.12
0.279253,5.69976,2810.85,-9888.49,-259.347,10283.5
0.279253,6.37032,3935.93,-13850.5,-375.075,14403.7
0.296706,0.33528,-0.245221,1.06597,0.848615,1.3844
0.296706,1.00584,24.3126,-79.1077,1.33485,82.7702
0.296706,1.6764,99.9496,-327.692,-2.48087,342.605
0.296706,2.34696,248.094,-815.736,-13.6953,852.739
0.296706,3.01752,489.857,-1613.28,-35.4792,1686.39
0.296706,3.68808,846.768,-2791.7,-70.8962,2918.15
0.296706,4.35864,1341.3,-4425.48,-123.066,4625.91
0.296706,5.0292,2033.52,-6712.23,-195.852,7016.24
0.296706,5.69976,2937.85,-9700.3,-292.694,10139.6
0.296706,6.37032,4112.18,-13581.1,-420.511,14196.2
0.314159,0.33528,0.0113789,0.197324,0.793518,0.817763
0.314159,1.00584,26.4975,-81.311,0.819511,85.5235
0.314159,1.6764,106.41,-328.686,-4.06677,345.505
0.314159,2.34696,261.655,-810.316,-17.1608,851.687
0.314159,3.01752,514.079,-1594.4,-41.7679,1675.75
0.314159,3.68808,885.712,-2749.7,-81.1518,2889.97
0.314159,4.35864,1401.03,-4352.53,-138.652,4574.56
0.314159,5.0292,2120.14,-6589.14,-218.625,6925.29
0.314159,5.69976,3057.91,-9506.38,-324.758,9991.37
0.314159,6.37032,4276.7,-13298.3,-464.553,13976.8
0.331613,0.33528,0.288861,-0.637038,0.730385,1.0113
0.331613,1.00584,28.7054,-83.2877,0.285572,88.0961
0.331613,1.6764,112.845,-329.286,-5.6475,348.131
0.331613,2.34696,274.936,-804.157,-20.5677,850.107
0.331613,3.01752,537.542,-1574.37,-47.893,1664.3
0.331613,3.68808,923.116,-2706.1,-91.071,2860.66
0.331613,4.35864,1457.9,-4276.54,-153.719,4520.83
0.331613,5.0292,2201.46,-6460.03,-240.673,6829.08
0.331613,5.69976,3170.38,-9305.74,-355.593,9837.41
0.331613,6.37032,4430.64,-13007.6,-506.737,13750.8
0.349066,0.33528,0.591271,-1.45143,0.661899,1.70129
0.349066,1.00584,30.951,-85.1047,-0.257884,90.5585
0.349066,1.6764,119.151,-329.258,-7.23849,350.229
0.349066,2.34696,287.91,-797.279,-23.9101,848.008
0.349066,3.01752,560.208,-1553.24,-53.8463,1652.05
0.349066,3.68808,958.634,-2660.16,-100.697,2829.41
0.349066,4.35864,1511.57,-4197,-168.289,4464.08
0.349066,5.0292,2278.28,-6327.97,-261.766,6730.7
0.349066,5.69976,3276.17,-9101.86,-384.944,9681.18
0.349066,6.37032,4574.99,-12712.7,-546.777,13521.9
0.366519,0.33528,0.918879,-2.24783,0.588849,2.49876
0.366519,1.00584,33.2305,-86.7688,-0.808477,92.918
0.366519,1.6764,125.39,-328.838,-8.81667,352.044
0.366519,2.34696,300.552,-789.7,-27.1826,845.397
0.366519,3.01752,581.873,-1530.61,-59.6493,1638.57
0.366519,3.68808,992.27,-2612.21,-109.998,2796.49
0.366519,4.35864,1562.44,-4115.47,-182.249,4405.85
0.366519,5.0292,2350.63,-6193.45,-281.873,6630.51
0.366519,5.69976,3375.22,-8895.06,-412.801,9522.84
0.366519,6.37032,4709.67,-12414,-584.659,13290.2
0.383972,0.33528,1.26944,-3.0217,0.511149,3.31714
0.383972,1.00584,35.5369,-88.2781,-1.36481,95.1722
0.383972,1.6764,131.547,-328.032,-10.3789,353.578
0.383972,2.34696,312.835,-781.442,-30.3802,842.283
0.383972,3.01752,602.502,-1506.61,-65.288,1623.93
0.383972,3.68808,1024.18,-2562.92,-118.927,2762.55
0.383972,4.35864,1610.48,-4032.1,-195.59,4346.23
0.383972,5.0292,2418.45,-6056.68,-300.985,6528.62
0.383972,5.69976,3467.49,-8685.67,-439.156,9362.54
0.383972,6.37032,4834.64,-12112.1,-620.377,13056.1
0.401426,0.33528,1.63433,-3.75468,0.427105,4.11717
0.401426,1.00584,37.8632,-89.6309,-1.9255,97.3192
0.401426,1.6764,137.606,-326.846,-11.9221,354.832
0.401426,2.34696,324.557,-772.107,-33.5263,838.219
0.401426,3.01752,622.202,-1481.64,-70.7303,1608.54
0.401426,3.68808,1054.34,-2512.38,-127.478,2727.63
0.401426,4.35864,1655.64,-3947.03,-208.303,4285.27
0.401426,5.0292,2481.7,-5917.9,-319.095,6425.13
0.401426,5.69976,3552.95,-8474.02,-464.005,9200.42
0.401426,6.37032,4949.15,-11805.8,-654.064,12817.9
0.418879,0.33528,2.01912,-4.46277,0.33922,4.91001
0.418879,1.00584,40.1689,-90.7522,-2.49519,99.276
0.418879,1.6764,143.552,-325.287,-13.4434,355.808
0.418879,2.34696,335.856,-762.136,-36.5863,833.66
0.418879,3.01752,640.946,-1455.77,-75.9706,1592.43
0.418879,3.68808,1082.71,-2460.69,-135.644,2691.78
0.418879,4.35864,1697.87,-3860.42,-220.384,4223.05
0.418879,5.0292,2539.85,-5776.21,-336.267,6318.9
0.418879,5.69976,3630.05,-8257.05,-487.56,9032.93
0.418879,6.37032,5052.43,-11494,-685.833,12574.2
0.436332,0.33528,2.42236,-5.14448,0.247775,5.69165
0.436332,1.00584,42.473,-91.7061,-3.06681,101.111
0.436332,1.6764,149.323,-323.258,-14.9472,356.394
0.436332,2.34696,346.714,-751.558,-39.5557,828.622
0.436332,3.01752,658.71,-1429.05,-81.0038,1575.64
0.436332,3.68808,1109.27,-2407.95,-143.421,2655.05
0.436332,4.35864,1736.52,-3771.05,-231.901,4158.14
0.436332,5.0292,2592.71,-5631.63,-352.501,6209.81
0.436332,5.69976,3700.13,-8038.38,-509.601,8863.75
0.436332,6.37032,5145.84,-11180.5,-715.422,12328.6
0.453786,0.33528,2.84255,-5.79846,0.153061,6.45954
0.453786,1.00584,44.772,-92.5005,-3.63834,102.83
0.453786,1.6764,154.91,-320.793,-16.4284,356.616
0.453786,2.34696,357.112,-740.402,-42.431,823.119
0.453786,3.01752,675.474,-1401.54,-85.8258,1558.19
0.453786,3.68808,1133.5,-2353.22,-150.862,2616.34
0.453786,4.35864,1772.02,-3680.19,-242.786,4091.79
0.453786,5.0292,2640.88,-5485.8,-367.712,6099.46
0.453786,5.69976,3764.72,-7821.48,-530.322,8696.55
0.453786,6.37032,5229.42,-10865.7,-742.845,12081.5
0.471239,0.33528,3.27083,-6.4094,0.0538489,7.19595
0.471239,1.00584,47.059,-93.1364,-4.20846,104.435
0.471239,1.6764,160.336,-317.981,-17.8788,356.566
0.471239,2.34696,367.033,-728.7,-45.2086,817.166
0.471239,3.01752,690.955,-1372.8,-90.462,1539.54
0.471239,3.68808,1155.84,-2297.65,-157.904,2576.84
0.471239,4.35864,1804.49,-3588.28,-253.018,4024.42
0.471239,5.0292,2684.36,-5338.94,-381.905,5987.98
0.471239,5.69976,3822.79,-7604.24,-549.593,8528.79
0.471239,6.37032,5303.24,-10550.2,-768.124,11833
0.488692,0.33528,3.7106,-6.98715,-0.0482838,7.91145
0.488692,1.00584,49.3278,-93.6155,-4.77586,105.924
0.488692,1.6764,165.59,-314.836,-19.2959,356.25
0.488692,2.34696,376.435,-716.428,-47.8888,810.719
0.488692,3.01752,705.327,-1343.28,-94.8834,1520.16
0.488692,3.68808,1176.29,-2241.34,-164.544,2536.6
0.488692,4.35864,1833.92,-3495.48,-262.6,3956.09
0.488692,5.0292,2723.16,-5191.29,-395.086,5875.48
0.488692,5.69976,3874.06,-7386.24,-567.381,8359.83
0.488692,6.37032,5367.4,-10234.3,-791.283,11583.5
0.506145,0.33528,4.16145,-7.53325,-0.152756,8.60761
0.506145,1.00584,51.5595,-93.9175,-5.34091,107.273
0.506145,1.6764,170.661,-311.37,-20.6776,355.674
0.506145,2.34696,385.177,-703.399,-50.4806,803.542
0.506145,3.01752,718.632,-1313.17,-99.0824,1500.22
0.506145,3.68808,1194.86,-2184.41,-170.784,2495.7
0.506145,4.35864,1860.33,-3401.96,-271.534,3886.89
0.506145,5.0292,2757.33,-5043.11,-407.265,5762.09
0.506145,5.69976,3918.51,-7167.71,-583.712,8189.71
0.506145,6.37032,5421.13,-9917.14,-812.496,11331.3
0.523599,0.33528,4.62179,-8.04704,-0.259251,9.28348
0.523599,1.00584,53.7353,-94.0253,-5.90358,108.458
0.523599,1.6764,175.539,-307.597,-22.0218,354.845
0.523599,2.34696,393.39,-689.922,-52.9654,795.96
