Azimuth Angle,Radius Location,Cl,Cd,Cm,AoA,Mach
0.139626,2.34696,1.10809,0.0163969,-0.00270383,0.153225,0.160347
0.139626,3.01752,1.07647,0.0159889,-0.00321103,0.147825,0.201448
0.139626,3.68808,1.05557,0.0157191,-0.00354633,0.144255,0.242553
0.139626,4.35864,1.04073,0.0155276,-0.00378446,0.14172,0.283661
0.139626,5.0292,1.04163,0.0153805,-0.0031836,0.139827,0.324769
0.139626,5.69976,1.05242,0.015274,-0.00206425,0.138359,0.365879
0.139626,6.37032,1.06491,0.0153898,-0.00033901,0.137187,0.406989
0.15708,0.33528,1.48956,0.0293464,0.0079221,0.232556,0.039201
0.15708,1.00584,1.23886,0.0185896,-4.62165e-05,0.176526,0.0801922
0.15708,1.6764,1.13817,0.0168157,-0.00218615,0.158422,0.121265
0.15708,2.34696,1.08617,0.0161139,-0.00305554,0.14948,0.162357
0.15708,3.01752,1.05496,0.0157112,-0.00355613,0.144151,0.203457
0.15708,3.68808,1.03425,0.0154439,-0.00388845,0.140613,0.244561
0.15708,4.35864,1.01921,0.0152762,-0.00409732,0.138093,0.285666
0.15708,5.0292,1.0205,0.0151499,-0.0034555,0.136207,0.326774
0.15708,5.69976,1.03084,0.0150357,-0.00241911,0.134743,0.367882
0.15708,6.37032,1.04328,0.015162,-0.000675364,0.133572,0.408991
0.174533,0.33528,1.46494,0.0267985,0.00698691,0.224632,0.0412022
0.174533,1.00584,1.21478,0.0181151,-0.00060044,0.172103,0.0821992
0.174533,1.6764,1.11586,0.0164972,-0.00257908,0.154553,0.123272
0.174533,2.34696,1.06448,0.0158341,-0.00340346,0.145776,0.164364
0.174533,3.01752,1.03365,0.0154362,-0.00389805,0.14051,0.205463
0.174533,3.68808,1.01261,0.0152097,-0.00418011,0.137,0.246566
0.174533,4.35864,0.997465,0.0150573,-0.00437011,0.134493,0.287672
0.174533,5.0292,0.999444,0.014923,-0.00372893,0.132613,0.328778
0.174533,5.69976,1.00937,0.014798,-0.00277947,0.131151,0.369886
0.174533,6.37032,1.0219,0.0149182,-0.00104933,0.129981,0.410994
0.191986,0.33528,1.43494,0.0250985,0.00587612,0.217221,0.0431987
0.191986,1.00584,1.19057,0.0177046,-0.00110144,0.167781,0.0842015
0.191986,1.6764,1.09353,0.016209,-0.00293738,0.150738,0.125275
0.191986,2.34696,1.04303,0.0155573,-0.00374752,0.142113,0.166367
0.191986,3.01752,1.01204,0.0152039,-0.00418734,0.136905,0.207467
0.191986,3.68808,0.990977,0.014992,-0.00445151,0.133419,0.24857
0.191986,4.35864,0.975894,0.0148402,-0.0046407,0.130923,0.289676
0.191986,5.0292,0.978517,0.0146967,-0.00400815,0.129047,0.330783
0.191986,5.69976,0.98803,0.0145609,-0.00314508,0.127586,0.371891
0.191986,6.37032,1.00077,0.0146586,-0.00146033,0.126415,0.412999
0.20944,0.33528,1.40675,0.0235008,0.00483216,0.210255,0.0451897
0.20944,1.00584,1.16691,0.0173031,-0.00159132,0.163554,0.0861983
0.20944,1.6764,1.07151,0.0159248,-0.0032906,0.146978,0.127274
0.20944,2.34696,1.02162,0.0153004,-0.0040671,0.138492,0.168367
0.20944,3.01752,0.990469,0.0149869,-0.00445787,0.133335,0.209468
0.20944,3.68808,0.969538,0.0147763,-0.00472044,0.129871,0.250572
0.20944,4.35864,0.954507,0.014625,-0.004909,0.127383,0.291679
0.20944,5.0292,0.957726,0.0144713,-0.00429292,0.125509,0.332787
0.20944,5.69976,0.966819,0.0143246,-0.00351569,0.124048,0.373895
0.20944,6.37032,0.979903,0.0143836,-0.00190774,0.122876,0.415005
0.226893,0.33528,1.37594,0.0223784,0.0038381,0.20368,0.0471746
0.226893,1.00584,1.14375,0.0169103,-0.00207061,0.159419,0.0881892
0.226893,1.6764,1.04981,0.0156448,-0.00363878,0.143271,0.129267
0.226893,2.34696,0.999994,0.0150828,-0.00433838,0.134912,0.170362
0.226893,3.01752,0.969125,0.0147721,-0.00472563,0.129802,0.211464
0.226893,3.68808,0.948303,0.0145626,-0.00498683,0.126356,0.252571
0.226893,4.35864,0.93331,0.0144117,-0.0051749,0.123874,0.293679
0.226893,5.0292,0.937052,0.0142489,-0.00457912,0.122002,0.334789
0.226893,5.69976,0.945477,0.0141112,-0.00384424,0.120539,0.375899
0.226893,6.37032,0.95846,0.0141694,-0.0022536,0.119365,0.41701
0.244346,0.33528,1.34619,0.0213667,0.00289522,0.197452,0.0491527
0.244346,1.00584,1.12066,0.0165591,-0.00250214,0.155372,0.0901736
0.244346,1.6764,1.02842,0.0153689,-0.00398175,0.139618,0.131254
0.244346,2.34696,0.978629,0.0148678,-0.0046064,0.131375,0.172352
0.244346,3.01752,0.948011,0.0145596,-0.00499049,0.126307,0.213457
0.244346,3.68808,0.927281,0.014351,-0.00525053,0.122876,0.254565
0.244346,4.35864,0.912039,0.014221,-0.00540621,0.120399,0.295676
0.244346,5.0292,0.916001,0.0140687,-0.00479363,0.118526,0.336788
0.244346,5.69976,0.923979,0.0139239,-0.00412295,0.117061,0.377901
0.244346,6.37032,0.937,0.0139684,-0.00258896,0.115884,0.419015
0.261799,0.33528,1.31769,0.0204235,0.00200566,0.191531,0.0511233
0.261799,1.00584,1.09746,0.0162597,-0.00287429,0.15141,0.0921507
0.261799,1.6764,1.00668,0.01515,-0.00425452,0.136019,0.133235
0.261799,2.34696,0.95753,0.0146554,-0.00487107,0.127883,0.174336
0.261799,3.01752,0.927136,0.0143496,-0.00525235,0.122852,0.215444
0.261799,3.68808,0.906056,0.0141735,-0.00546194,0.119433,0.256556
0.261799,4.35864,0.890722,0.0140518,-0.00560475,0.116959,0.29767
0.261799,5.0292,0.895123,0.0138897,-0.00501176,0.115085,0.338785
0.261799,5.69976,0.902652,0.0137376,-0.00440475,0.113617,0.379902
0.261799,6.37032,0.915737,0.0137627,-0.00294618,0.112436,0.421019
0.279253,0.33528,1.28804,0.0197337,0.00123387,0.185887,0.0530859
0.279253,1.00584,1.07475,0.0159666,-0.00323873,0.14753,0.0941201
0.279253,1.6764,0.98526,0.0149345,-0.00452322,0.132473,0.135209
0.279253,2.34696,0.936703,0.0144459,-0.00513234,0.124436,0.176314
0.279253,3.01752,0.906081,0.0141737,-0.0054617,0.119437,0.217426
0.279253,3.68808,0.884958,0.0140061,-0.00565843,0.116029,0.258541
0.279253,4.35864,0.869632,0.0138845,-0.00580117,0.113556,0.299659
0.279253,5.0292,0.874427,0.0137118,-0.0052333,0.111679,0.340779
0.279253,5.69976,0.881505,0.0135525,-0.00468941,0.110207,0.381899
0.279253,6.37032,0.89468,0.0135527,-0.00332466,0.109021,0.42302
0.296706,0.33528,1.25969,0.0190743,0.000496118,0.180492,0.0550397
0.296706,1.00584,1.0525,0.0156794,-0.00359572,0.143729,0.0960811
0.296706,1.6764,0.964165,0.0147222,-0.00478785,0.128981,0.137175
0.296706,2.34696,0.915972,0.0142522,-0.00536958,0.121033,0.178284
0.296706,3.01752,0.885178,0.0140078,-0.00565638,0.116064,0.219401
0.296706,3.68808,0.864104,0.0138406,-0.00585265,0.112664,0.260521
