Azimuth Angle,Radius Location,Drag_X,Drag_Y,Drag_Z,Drag_Mag
0.15708,5.69976,0,-29.2111,3.95997,29.4783
0.15708,6.37032,0,-36.4133,4.89294,36.7405
0.174533,0.33528,0,-0.642484,0.1468,0.659042
0.174533,1.00584,0,-1.74693,0.303655,1.77312
0.174533,1.6764,0,-3.58834,0.559046,3.63162
0.174533,2.34696,0,-6.13105,0.900146,6.19678
0.174533,3.01752,0,-9.34691,1.32205,9.43994
0.174533,3.68808,0,-13.2697,1.82942,13.3952
0.174533,4.35864,0,-17.8881,2.42044,18.0511
0.174533,5.0292,0,-23.1629,3.08984,23.3681
0.174533,5.69976,0,-29.0773,3.83553,29.3291
0.174533,6.37032,0,-36.1968,4.73158,36.5047
0.191986,0.33528,0,-0.662556,0.146228,0.678501
0.191986,1.00584,0,-1.79285,0.30366,1.81839
0.191986,1.6764,0,-3.6433,0.553382,3.68508
0.191986,2.34696,0,-6.17491,0.883492,6.2378
0.191986,3.01752,0,-9.39145,1.29383,9.48016
0.191986,3.68808,0,-13.2997,1.78505,13.419
0.191986,4.35864,0,-17.8852,2.35506,18.0396
0.191986,5.0292,0,-23.1016,2.99785,23.2953
0.191986,5.69976,0,-28.9358,3.71196,29.1729
0.191986,6.37032,0,-35.9313,4.56662,36.2204
0.20944,0.33528,0,-0.67991,0.145099,0.695221
0.20944,1.00584,0,-1.83759,0.303254,1.86244
0.20944,1.6764,0,-3.69663,0.547269,3.73692
0.20944,2.34696,0,-6.22299,0.867385,6.28315
0.20944,3.01752,0,-9.44138,1.26638,9.52593
0.20944,3.68808,0,-13.3266,1.74053,13.4398
0.20944,4.35864,0,-17.8786,2.28982,18.0246
0.20944,5.0292,0,-23.034,2.90626,23.2167
0.20944,5.69976,0,-28.7869,3.58937,29.0098
0.20944,6.37032,0,-35.6162,4.39853,35.8868
0.226893,0.33528,0,-0.706537,0.145931,0.72145
0.226893,1.00584,0,-1.88106,0.302443,1.90522
0.226893,1.6764,0,-3.74828,0.540724,3.78708
0.226893,2.34696,0,-6.28382,0.852943,6.34144
0.226893,3.01752,0,-9.48877,1.23863,9.56927
0.226893,3.68808,0,-13.3502,1.69591,13.4575
0.226893,4.35864,0,-17.8682,2.2248,18.0062
0.226893,5.0292,0,-22.9637,2.8156,23.1357
0.226893,5.69976,0,-28.6751,3.47331,28.8847
0.226893,6.37032,0,-35.441,4.25061,35.695
0.244346,0.33528,0,-0.733285,0.1467,0.747815
